activity_region	activity_sector	original_total_meur	target_meur	balanced_total_meur	delta_from_original_meur	target_residual_meur	sum_abs_cell_adjustment_meur
DE	AGRI_FOOD	237473.003	237473.003	237473.00299999997	-2.9103830456733704e-11	-2.9103830456733704e-11	0.06085469785473849
DE	BASIC_METALS	91769.99800000005	91769.99800000005	91769.99799999998	-7.275957614183426e-11	-7.275957614183426e-11	0.07465009432197788
DE	CONSTRUCTION	288371.0009999999	288371.0009999999	288371.00100000005	1.7462298274040222e-10	1.7462298274040222e-10	0.07382792797400266
DE	EXTRACTIVE	10698.001999999999	10698.001999999999	10698.002	1.8189894035458565e-12	1.8189894035458565e-12	0.06175957076287146
DE	INC_EE	77.21797247099484	77.21797247099484	77.2179724709948	-4.263256414560601e-14	-4.263256414560601e-14	0.06897408966489083
DE	METAL_COMPONENTS	130506.0	130506.0	130506.0	0.0	0.0	0.07442173068134572
DE	NEW_ELMA	72916.2	72916.2	72916.19999999998	-1.4551915228366852e-11	-1.4551915228366852e-11	0.16609507293861353
DE	NEW_OFMA	2.3739324170277367	2.3739324170277367	2.373932417027739	2.220446049250313e-15	2.220446049250313e-15	0.10789510018844506
DE	NEW_RATV	61632.62466758296	61632.62466758296	61632.62466758295	-7.275957614183426e-12	-7.275957614183426e-12	0.1631885944846481
DE	OTHER_MANUFACTURING	1.2603188104e6	1.2603188104e6	1.2603188104000003e6	2.3283064365386963e-10	2.3283064365386963e-10	0.17573697538759145
DE	OTHER_SERVICES	1.818046112918492e6	1.818046112918492e6	1.818046112918492e6	0.0	0.0	0.17889679030972722
DE	PUBLIC_SOCIAL	777105.0	777105.0	777104.9999999999	-1.1641532182693481e-10	-1.1641532182693481e-10	0.028537674008885565
DE	REC_EE	207.11205655711802	207.11205655711802	207.11205655711802	0.0	0.0	0.06897408966490236
DE	REF_ELMA	9078.330636595723	9078.330636595723	9078.330636595723	0.0	0.0	0.07666356045027821
DE	REF_OFMA	0.34071946227907085	0.34071946227907085	0.34071946227905725	-1.3600232051658168e-14	-1.3600232051658168e-14	0.056734067413798404
DE	REF_RATV	8845.843540010643	8845.843540010643	8845.843540010646	3.637978807091713e-12	3.637978807091713e-12	0.07666356045088112
DE	REP_ELMA	41.635157001801645	41.635157001801645	41.63515700180163	-1.4210854715202004e-14	-1.4210854715202004e-14	0.02189716189589269
DE	REP_OFMA	0.0039803094975801425	0.0039803094975801425	0.003980309497582858	2.7157096016416915e-15	2.7157096016416915e-15	0.0002627380588600732
DE	REP_RATV	103.33778652061194	103.33778652061194	103.33778652061193	-1.4210854715202004e-14	-1.4210854715202004e-14	0.01790709742416835
DE	REU_ELMA	3253.439659981652	3253.439659981652	3253.439659981652	0.0	0.0	0.07330280863168513
DE	REU_OFMA	0.16115736957193338	0.16115736957193338	0.1611573695719472	1.3822276656583199e-14	1.3822276656583199e-14	0.015714887494694397
DE	REU_RATV	4184.007767027292	4184.007767027292	4184.007767027292	0.0	0.0	0.0733028086316416
DE	TRADE	481964.7816772293	481964.7816772293	481964.7816772293	0.0	0.0	0.07573849780787145
DE	TRANSPORT	337231.003	337231.003	337231.003	0.0	0.0	0.059899064437397315
DE	UTIL_WASTE	182937.6729709719	182937.6729709719	182937.6729709719	0.0	0.0	0.07095492361402732
FR	AGRI_FOOD	233247.6	233247.6	233247.6	0.0	0.0	0.0
FR	BASIC_METALS	24587.9	24587.9	24587.9	0.0	0.0	0.0
FR	CONSTRUCTION	289916.7	289916.7	289916.7	0.0	0.0	0.0
FR	EXTRACTIVE	5055.6	5055.6	5055.6	0.0	0.0	0.0
FR	INC_EE	84.6864641093477	84.6864641093477	84.6864641093477	0.0	0.0	0.0003787975982874059
FR	METAL_COMPONENTS	51721.4	51721.4	51721.4	0.0	0.0	0.0
FR	NEW_ELMA	15112.02	15112.02	15112.02	0.0	0.0	0.0
FR	NEW_OFMA	0.9095726878067604	0.9095726878067604	0.9095726878067507	-9.658940314238862e-15	-9.658940314238862e-15	9.658940314238862e-15
FR	NEW_RATV	16486.40042731219	16486.40042731219	16486.40042731219	0.0	0.0	0.0
FR	OTHER_MANUFACTURING	444168.06999999995	444168.06999999995	444168.06999999995	0.0	0.0	0.0
FR	OTHER_SERVICES	1.5146428100000003e6	1.5146428100000003e6	1.5146428100000008e6	4.656612873077393e-10	4.656612873077393e-10	0.298297246158552
FR	PUBLIC_SOCIAL	594376.993	594376.993	594376.993	0.0	0.0	0.18273034966511653
FR	REC_EE	101.53953589065225	101.53953589065225	101.53953589065223	-1.4210854715202004e-14	-1.4210854715202004e-14	0.00037879759828030046
FR	REF_ELMA	2350.094	2350.094	2350.094	0.0	0.0	0.0
FR	REF_OFMA	0.1390746735960761	0.1390746735960761	0.13907467359607395	-2.1371793224034263e-15	-2.1371793224034263e-15	2.1371793224034263e-15
FR	REF_RATV	2520.7889253264043	2520.7889253264043	2520.7889253264043	0.0	0.0	0.0
FR	REP_ELMA	38.559	38.559	38.55899999999999	-7.105427357601002e-15	-7.105427357601002e-15	7.105427357601002e-15
FR	REP_OFMA	0.002175607089109588	0.002175607089109588	0.002175607089118914	9.325873406851315e-15	9.325873406851315e-15	9.325873406851315e-15
FR	REP_RATV	39.4338243929109	39.4338243929109	39.43382439291091	7.105427357601002e-15	7.105427357601002e-15	7.105427357601002e-15
FR	REU_ELMA	478.46800000000013	478.46800000000013	478.46800000000013	0.0	0.0	0.0
FR	REU_OFMA	0.02521030779824718	0.02521030779824718	0.025210307798234247	-1.2934098236883074e-14	-1.2934098236883074e-14	1.2934098236883074e-14
FR	REU_RATV	456.9477896922018	456.9477896922018	456.9477896922018	0.0	0.0	0.0
FR	TRADE	386911.73	386911.73	386911.73	0.0	0.0	0.0
FR	TRANSPORT	198857.0	198857.0	198857.0	0.0	0.0	0.0
FR	UTIL_WASTE	135274.674	135274.674	135274.674	0.0	0.0	0.0
IT	AGRI_FOOD	191742.08799999993	191742.08799999993	191742.088	5.820766091346741e-11	5.820766091346741e-11	0.03380445847358416
IT	BASIC_METALS	50620.099	50620.099	50620.09899999999	-1.4551915228366852e-11	-1.4551915228366852e-11	0.034397093445028865
IT	CONSTRUCTION	184000.38900000002	184000.38900000002	184000.38899999997	-5.820766091346741e-11	-5.820766091346741e-11	0.03587189054851639
IT	EXTRACTIVE	7790.598999999998	7790.598999999998	7790.599	1.8189894035458565e-12	1.8189894035458565e-12	0.031159764638771903
IT	INC_EE	128.62877218262122	128.62877218262122	128.62877218262122	0.0	0.0	0.02729496123662805
IT	METAL_COMPONENTS	81294.494	81294.494	81294.494	0.0	0.0	0.07816760881792383
IT	NEW_ELMA	27682.199300000004	27682.199300000004	27682.199299999993	-1.0913936421275139e-11	-1.0913936421275139e-11	0.07867355968533718
IT	NEW_OFMA	3391.7560264599306	3391.7560264599306	3391.75602645993	-4.547473508864641e-13	-4.547473508864641e-13	0.07205149375693815
IT	NEW_RATV	11810.072573540072	11810.072573540072	11810.072573540072	0.0	0.0	0.0724074088051242
IT	OTHER_MANUFACTURING	578227.6360999997	578227.6360999997	578227.6360999999	2.3283064365386963e-10	2.3283064365386963e-10	0.07901436075287122
IT	OTHER_SERVICES	1.0149415492541756e6	1.0149415492541756e6	1.0149415492541757e6	1.1641532182693481e-10	1.1641532182693481e-10	0.07867355963459477
IT	PUBLIC_SOCIAL	383922.37700000004	383922.37700000004	383922.377	-5.820766091346741e-11	-5.820766091346741e-11	0.032658761809344156
IT	REC_EE	278.21619224380527	278.21619224380527	278.2161922438052	-5.684341886080802e-14	-5.684341886080802e-14	0.027294961236647163
IT	REF_ELMA	2750.7247538456686	2750.7247538456686	2750.72475384567	1.3642420526593924e-12	1.3642420526593924e-12	0.07901436074718188
IT	REF_OFMA	320.6558941319035	320.6558941319035	320.65589413190344	-5.684341886080802e-14	-5.684341886080802e-14	0.07901436074732321
IT	REF_RATV	1116.521751944442	1116.521751944442	1116.521751944442	0.0	0.0	0.07901436074734168
IT	REP_ELMA	25.0547252004522	25.0547252004522	25.054725200452197	-3.552713678800501e-15	-3.552713678800501e-15	0.034267411647283315
IT	REP_OFMA	6.243398437585607	6.243398437585607	6.243398437585608	8.881784197001252e-16	8.881784197001252e-16	0.03659069551440815
IT	REP_RATV	21.739473027596258	21.739473027596258	21.73947302759625	-7.105427357601002e-15	-7.105427357601002e-15	0.03448622198655145
IT	REU_ELMA	778.8822668914737	778.8822668914737	778.8822668914735	-2.2737367544323206e-13	-2.2737367544323206e-13	0.06974772700333155
IT	REU_OFMA	96.18544643841577	96.18544643841577	96.18544643841577	0.0	0.0	0.0685208845558353
IT	REU_RATV	334.9171031448483	334.9171031448483	334.9171031448483	0.0	0.0	0.06899601471876932
IT	TRADE	332329.751932762	332329.751932762	332329.751932762	0.0	0.0	0.07901436073561396
IT	TRANSPORT	184042.49	184042.49	184042.49	0.0	0.0	0.03128399477747451
IT	UTIL_WASTE	111473.94703557358	111473.94703557358	111473.94703557358	0.0	0.0	0.027679159099446182
PL	AGRI_FOOD	83866.42700000001	83866.42700000001	83866.42700000003	1.4551915228366852e-11	1.4551915228366852e-11	0.10262398784402496
PL	BASIC_METALS	10395.581000000004	10395.581000000004	10395.580999999998	-5.4569682106375694e-12	-5.4569682106375694e-12	0.04493346329604225
PL	CONSTRUCTION	82078.294	82078.294	82078.29399999998	-1.4551915228366852e-11	-1.4551915228366852e-11	0.10604708588130018
PL	EXTRACTIVE	11051.747	11051.747	11051.747	0.0	0.0	0.04508591340696254
PL	INC_EE	29.005372130238637	29.005372130238637	29.005372130238626	-1.0658141036401503e-14	-1.0658141036401503e-14	0.10187436743214723
PL	METAL_COMPONENTS	24679.823	24679.823	24679.823000000008	7.275957614183426e-12	7.275957614183426e-12	0.10604708588090148
PL	NEW_ELMA	9122.205400000004	9122.205400000004	9122.2054	-3.637978807091713e-12	-3.637978807091713e-12	0.10398613092869018
PL	NEW_OFMA	160.3336066933779	160.3336066933779	160.33360669337793	2.842170943040401e-14	2.842170943040401e-14	0.08987427140840396
PL	NEW_RATV	6100.71629330662	6100.71629330662	6100.716293306622	1.8189894035458565e-12	1.8189894035458565e-12	0.09181536289803637
PL	OTHER_MANUFACTURING	162363.13269999993	162363.13269999993	162363.13269999996	2.9103830456733704e-11	2.9103830456733704e-11	0.10604708588723878
