use_region	use_code	original_total_meur	target_meur	balanced_total_meur	delta_from_original_meur	target_residual_meur	sum_abs_cell_adjustment_meur
DE	P3_S13	625689.7429999999	625689.7749777478	625689.7749777479	0.03197774803265929	1.1641532182693481e-10	1.0179368178176236
DE	P3_S14	1.4250384719999994e6	1.4250385448308578e6	1.4250385448308582e6	0.0728308588732034	4.656612873077393e-10	1.1319356165913586
DE	P3_S15	47592.001000000004	47592.00343233172	47592.00343233181	0.0024323318066308275	8.731149137020111e-11	0.0024323318029928487
DE	P51G	581670.025	581670.0547279884	581670.0547279883	0.02972798829432577	-1.1641532182693481e-10	1.0632300210031835
DE	P5M	-9695.031000000019	-9695.031000000019	-9695.030999999923	9.640643838793039e-11	9.640643838793039e-11	1.114060775899691
FR	P3_S13	537112.3740000002	537112.4014507364	537112.4014507366	0.027450736379250884	1.1641532182693481e-10	0.9866048387553205
FR	P3_S14	1.0342271280000007e6	1.034227180857275e6	1.0342271808572749e6	0.05285727418959141	-1.1641532182693481e-10	1.1724617456437527
FR	P3_S15	50142.0	50142.00256265706	50142.002562657144	0.0025626571441534907	8.731149137020111e-11	0.009594180341082392
FR	P51G	436389.75599999976	436389.778303005	436389.77830300474	0.022303004981949925	-2.3283064365386963e-10	1.1031654484540332
FR	P5M	14995.858000000006	14995.858766408233	14995.858766408322	0.0007664083168492652	8.913048077374697e-11	1.1229478573946323
IT	P3_S13	325281.542	325281.55862448725	325281.5586244874	0.016624487412627786	1.7462298274040222e-10	0.8376848699883254
IT	P3_S14	902288.8639999998	902288.910114174	902288.9101141739	0.04611417406704277	-1.1641532182693481e-10	1.0620312175971376
IT	P3_S15	8997.001	8997.001459818677	8997.001459818763	0.0004598187624651473	8.549250196665525e-11	0.005243309162551668
IT	P51G	281201.6849999999	281201.699371654	281201.69937165413	0.014371654251590371	1.1641532182693481e-10	1.029443604863532
IT	P5M	6838.326000000004	6838.326349493131	6838.326349493216	0.0003494932125249761	8.549250196665525e-11	0.9384213364790714
PL	P3_S13	75981.92799999999	75981.93188328393	75981.93188328407	0.0038832840800751	1.3096723705530167e-10	0.8676119421508256
PL	P3_S14	220253.95799999987	220253.96925673794	220253.96925673814	0.011256738274823874	2.0372681319713593e-10	1.1396421897065763
PL	P3_S15	3339.707	3339.707170685727	3339.707170685813	0.00017068581291823648	8.594724931754172e-11	0.8818549376379385
PL	P51G	75153.602	75153.60584094987	75153.60584094994	0.00384094993933104	7.275957614183426e-11	0.9575269994122564
PL	P5M	7138.834000000003	7138.834364851491	7138.83436485157	0.000364851567610458	7.912603905424476e-11	1.357764921081018
REU	P3_S13	1.989890856999999e6	1.9898909586993298e6	1.989890958699329e6	0.10169933014549315	-6.984919309616089e-10	1.095171651565632
REU	P3_S14	5.059384161000004e6	5.059384419574982e6	5.05938441957498e6	0.25857497565448284	-1.862645149230957e-9	1.1123388956576572
REU	P3_S15	137454.16599999988	137454.17302500663	137454.17302500684	0.007025006954791024	2.0372681319713593e-10	1.0491525657974856
REU	P51G	2.092094421e6	2.0920945279227502e6	2.0920945279227514e6	0.10692275129258633	1.1641532182693481e-9	1.1287957219023115
REU	P5M	54804.942999999956	54804.94580097068	54804.94580097077	0.0028009708112222143	8.731149137020111e-11	1.2109960363630876
ROW	P3_S13	7.907311537000002e6	7.907311941126836e6	7.907311941126836e6	0.4041268341243267	0.0	0.9768999322184962
ROW	P3_S14	2.7752302543e7	2.7752303961364526e7	2.7752303961364523e7	1.4183645211160183	-3.725290298461914e-9	1.661439107847822
ROW	P3_S15	615662.1039999999	615662.1354652554	615662.1354652552	0.031465255306102335	-1.1641532182693481e-10	1.0788391742929297
ROW	P51G	1.3297100601e7	1.3297101280588143e7	1.329710128058815e7	0.6795881502330303	7.450580596923828e-9	1.0065487021432236
ROW	P5M	358156.14999999985	358156.1683046424	358156.1683046426	0.018304642755538225	2.3283064365386963e-10	1.1811499376144958
SK	P3_S13	15735.728	15735.728804221499	15735.728804221582	0.0008042215831665089	8.36735125631094e-11	0.9044316088934544
SK	P3_S14	37862.064999999995	37862.0669350542	37862.06693505429	0.0019350542934262194	8.731149137020111e-11	1.136226369659315
SK	P3_S15	932.086	932.0860476370461	932.0860476371313	4.7637131274314015e-5	8.51514414534904e-11	0.009123184440568366
SK	P51G	17132.234000000004	17132.234875594124	17132.234875594208	0.0008755942035350017	8.36735125631094e-11	1.0058697575331774
SK	P5M	2346.79	2346.79011993973	2346.7901199398148	0.000119939814794634	8.458300726488233e-11	1.079331313169961
