account_id	account_type	region	source_code	account_label
ACT:DE:AGRI_FOOD	activity	DE	AGRI_FOOD	DE activity: Agriculture and food
ACT:DE:BASIC_METALS	activity	DE	BASIC_METALS	DE activity: Basic metals
ACT:DE:CONSTRUCTION	activity	DE	CONSTRUCTION	DE activity: Construction
ACT:DE:EXTRACTIVE	activity	DE	EXTRACTIVE	DE activity: Extractive industries
ACT:DE:INC_EE	activity	DE	INC_EE	DE activity: Incineration and disposal activities for CE-RISE chains
ACT:DE:METAL_COMPONENTS	activity	DE	METAL_COMPONENTS	DE activity: Metal components and fabricated metals
ACT:DE:NEW_ELMA	activity	DE	NEW_ELMA	DE activity: New CE-RISE electrical equipment
ACT:DE:NEW_OFMA	activity	DE	NEW_OFMA	DE activity: New CE-RISE office machinery and computers
ACT:DE:NEW_RATV	activity	DE	NEW_RATV	DE activity: New CE-RISE communication and consumer electronics
ACT:DE:OTHER_MANUFACTURING	activity	DE	OTHER_MANUFACTURING	DE activity: Other manufacturing
ACT:DE:OTHER_SERVICES	activity	DE	OTHER_SERVICES	DE activity: Other market services
ACT:DE:PUBLIC_SOCIAL	activity	DE	PUBLIC_SOCIAL	DE activity: Public and social services
ACT:DE:REC_EE	activity	DE	REC_EE	DE activity: Recycling and recovery activities for CE-RISE chains
ACT:DE:REF_ELMA	activity	DE	REF_ELMA	DE activity: Refurbishment route for ELMA
ACT:DE:REF_OFMA	activity	DE	REF_OFMA	DE activity: Refurbishment route for OFMA
ACT:DE:REF_RATV	activity	DE	REF_RATV	DE activity: Refurbishment route for RATV
ACT:DE:REP_ELMA	activity	DE	REP_ELMA	DE activity: Repair activities linked to ELMA
ACT:DE:REP_OFMA	activity	DE	REP_OFMA	DE activity: Repair activities linked to OFMA
ACT:DE:REP_RATV	activity	DE	REP_RATV	DE activity: Repair activities linked to RATV
ACT:DE:REU_ELMA	activity	DE	REU_ELMA	DE activity: Reuse route for ELMA
ACT:DE:REU_OFMA	activity	DE	REU_OFMA	DE activity: Reuse route for OFMA
ACT:DE:REU_RATV	activity	DE	REU_RATV	DE activity: Reuse route for RATV
ACT:DE:TRADE	activity	DE	TRADE	DE activity: Trade services
ACT:DE:TRANSPORT	activity	DE	TRANSPORT	DE activity: Transport and storage
ACT:DE:UTIL_WASTE	activity	DE	UTIL_WASTE	DE activity: Utilities, water, and residual waste services
ACT:FR:AGRI_FOOD	activity	FR	AGRI_FOOD	FR activity: Agriculture and food
ACT:FR:BASIC_METALS	activity	FR	BASIC_METALS	FR activity: Basic metals
ACT:FR:CONSTRUCTION	activity	FR	CONSTRUCTION	FR activity: Construction
ACT:FR:EXTRACTIVE	activity	FR	EXTRACTIVE	FR activity: Extractive industries
ACT:FR:INC_EE	activity	FR	INC_EE	FR activity: Incineration and disposal activities for CE-RISE chains
ACT:FR:METAL_COMPONENTS	activity	FR	METAL_COMPONENTS	FR activity: Metal components and fabricated metals
ACT:FR:NEW_ELMA	activity	FR	NEW_ELMA	FR activity: New CE-RISE electrical equipment
ACT:FR:NEW_OFMA	activity	FR	NEW_OFMA	FR activity: New CE-RISE office machinery and computers
ACT:FR:NEW_RATV	activity	FR	NEW_RATV	FR activity: New CE-RISE communication and consumer electronics
ACT:FR:OTHER_MANUFACTURING	activity	FR	OTHER_MANUFACTURING	FR activity: Other manufacturing
ACT:FR:OTHER_SERVICES	activity	FR	OTHER_SERVICES	FR activity: Other market services
ACT:FR:PUBLIC_SOCIAL	activity	FR	PUBLIC_SOCIAL	FR activity: Public and social services
ACT:FR:REC_EE	activity	FR	REC_EE	FR activity: Recycling and recovery activities for CE-RISE chains
ACT:FR:REF_ELMA	activity	FR	REF_ELMA	FR activity: Refurbishment route for ELMA
ACT:FR:REF_OFMA	activity	FR	REF_OFMA	FR activity: Refurbishment route for OFMA
ACT:FR:REF_RATV	activity	FR	REF_RATV	FR activity: Refurbishment route for RATV
ACT:FR:REP_ELMA	activity	FR	REP_ELMA	FR activity: Repair activities linked to ELMA
ACT:FR:REP_OFMA	activity	FR	REP_OFMA	FR activity: Repair activities linked to OFMA
ACT:FR:REP_RATV	activity	FR	REP_RATV	FR activity: Repair activities linked to RATV
ACT:FR:REU_ELMA	activity	FR	REU_ELMA	FR activity: Reuse route for ELMA
ACT:FR:REU_OFMA	activity	FR	REU_OFMA	FR activity: Reuse route for OFMA
ACT:FR:REU_RATV	activity	FR	REU_RATV	FR activity: Reuse route for RATV
ACT:FR:TRADE	activity	FR	TRADE	FR activity: Trade services
ACT:FR:TRANSPORT	activity	FR	TRANSPORT	FR activity: Transport and storage
ACT:FR:UTIL_WASTE	activity	FR	UTIL_WASTE	FR activity: Utilities, water, and residual waste services
ACT:IT:AGRI_FOOD	activity	IT	AGRI_FOOD	IT activity: Agriculture and food
ACT:IT:BASIC_METALS	activity	IT	BASIC_METALS	IT activity: Basic metals
ACT:IT:CONSTRUCTION	activity	IT	CONSTRUCTION	IT activity: Construction
ACT:IT:EXTRACTIVE	activity	IT	EXTRACTIVE	IT activity: Extractive industries
ACT:IT:INC_EE	activity	IT	INC_EE	IT activity: Incineration and disposal activities for CE-RISE chains
ACT:IT:METAL_COMPONENTS	activity	IT	METAL_COMPONENTS	IT activity: Metal components and fabricated metals
ACT:IT:NEW_ELMA	activity	IT	NEW_ELMA	IT activity: New CE-RISE electrical equipment
ACT:IT:NEW_OFMA	activity	IT	NEW_OFMA	IT activity: New CE-RISE office machinery and computers
ACT:IT:NEW_RATV	activity	IT	NEW_RATV	IT activity: New CE-RISE communication and consumer electronics
ACT:IT:OTHER_MANUFACTURING	activity	IT	OTHER_MANUFACTURING	IT activity: Other manufacturing
ACT:IT:OTHER_SERVICES	activity	IT	OTHER_SERVICES	IT activity: Other market services
ACT:IT:PUBLIC_SOCIAL	activity	IT	PUBLIC_SOCIAL	IT activity: Public and social services
ACT:IT:REC_EE	activity	IT	REC_EE	IT activity: Recycling and recovery activities for CE-RISE chains
ACT:IT:REF_ELMA	activity	IT	REF_ELMA	IT activity: Refurbishment route for ELMA
ACT:IT:REF_OFMA	activity	IT	REF_OFMA	IT activity: Refurbishment route for OFMA
ACT:IT:REF_RATV	activity	IT	REF_RATV	IT activity: Refurbishment route for RATV
ACT:IT:REP_ELMA	activity	IT	REP_ELMA	IT activity: Repair activities linked to ELMA
ACT:IT:REP_OFMA	activity	IT	REP_OFMA	IT activity: Repair activities linked to OFMA
