account_id	account_type	region	code	label
ACT_AGRI_FOOD	activity	EU	AGRI_FOOD	EU activity: Agriculture and food
ACT_EXTRACTIVE	activity	EU	EXTRACTIVE	EU activity: Extractive industries
ACT_BASIC_METALS	activity	EU	BASIC_METALS	EU activity: Basic metals
ACT_METAL_COMPONENTS	activity	EU	METAL_COMPONENTS	EU activity: Metal components and fabricated metals
ACT_NEW_ELMA	activity	EU	NEW_ELMA	EU activity: New CE-RISE electrical equipment
ACT_NEW_OFMA	activity	EU	NEW_OFMA	EU activity: New CE-RISE office machinery and computers
ACT_NEW_RATV	activity	EU	NEW_RATV	EU activity: New CE-RISE communication and consumer electronics
ACT_REP_ELMA	activity	EU	REP_ELMA	EU activity: Repair activities linked to ELMA
ACT_REP_OFMA	activity	EU	REP_OFMA	EU activity: Repair activities linked to OFMA
ACT_REP_RATV	activity	EU	REP_RATV	EU activity: Repair activities linked to RATV
ACT_REF_ELMA	activity	EU	REF_ELMA	EU activity: Refurbishment route for ELMA
ACT_REF_OFMA	activity	EU	REF_OFMA	EU activity: Refurbishment route for OFMA
ACT_REF_RATV	activity	EU	REF_RATV	EU activity: Refurbishment route for RATV
ACT_REU_ELMA	activity	EU	REU_ELMA	EU activity: Reuse route for ELMA
ACT_REU_OFMA	activity	EU	REU_OFMA	EU activity: Reuse route for OFMA
ACT_REU_RATV	activity	EU	REU_RATV	EU activity: Reuse route for RATV
ACT_REC_EE	activity	EU	REC_EE	EU activity: Recycling and recovery activities for CE-RISE chains
ACT_INC_EE	activity	EU	INC_EE	EU activity: Incineration and disposal activities for CE-RISE chains
ACT_CONSTRUCTION	activity	EU	CONSTRUCTION	EU activity: Construction
ACT_UTIL_WASTE	activity	EU	UTIL_WASTE	EU activity: Utilities, water, and residual waste services
ACT_TRADE	activity	EU	TRADE	EU activity: Trade services
ACT_TRANSPORT	activity	EU	TRANSPORT	EU activity: Transport and storage
ACT_OTHER_MANUFACTURING	activity	EU	OTHER_MANUFACTURING	EU activity: Other manufacturing
ACT_OTHER_SERVICES	activity	EU	OTHER_SERVICES	EU activity: Other market services
ACT_PUBLIC_SOCIAL	activity	EU	PUBLIC_SOCIAL	EU activity: Public and social services
COM_AGRI_FOOD	commodity	EU	AGRI_FOOD	EU commodity: Agriculture and food
COM_EXTRACTIVE	commodity	EU	EXTRACTIVE	EU commodity: Extractive industries
COM_BASIC_METALS	commodity	EU	BASIC_METALS	EU commodity: Basic metals
COM_METAL_COMPONENTS	commodity	EU	METAL_COMPONENTS	EU commodity: Metal components and fabricated metals
COM_NEW_ELMA	commodity	EU	NEW_ELMA	EU commodity: New CE-RISE electrical equipment
COM_NEW_OFMA	commodity	EU	NEW_OFMA	EU commodity: New CE-RISE office machinery and computers
COM_NEW_RATV	commodity	EU	NEW_RATV	EU commodity: New CE-RISE communication and consumer electronics
COM_REP_ELMA	commodity	EU	REP_ELMA	EU commodity: Repair activities linked to ELMA
COM_REP_OFMA	commodity	EU	REP_OFMA	EU commodity: Repair activities linked to OFMA
COM_REP_RATV	commodity	EU	REP_RATV	EU commodity: Repair activities linked to RATV
COM_REF_ELMA	commodity	EU	REF_ELMA	EU commodity: Refurbishment route for ELMA
COM_REF_OFMA	commodity	EU	REF_OFMA	EU commodity: Refurbishment route for OFMA
COM_REF_RATV	commodity	EU	REF_RATV	EU commodity: Refurbishment route for RATV
COM_REU_ELMA	commodity	EU	REU_ELMA	EU commodity: Reuse route for ELMA
COM_REU_OFMA	commodity	EU	REU_OFMA	EU commodity: Reuse route for OFMA
COM_REU_RATV	commodity	EU	REU_RATV	EU commodity: Reuse route for RATV
COM_REC_EE	commodity	EU	REC_EE	EU commodity: Recycling and recovery activities for CE-RISE chains
COM_INC_EE	commodity	EU	INC_EE	EU commodity: Incineration and disposal activities for CE-RISE chains
COM_CONSTRUCTION	commodity	EU	CONSTRUCTION	EU commodity: Construction
COM_UTIL_WASTE	commodity	EU	UTIL_WASTE	EU commodity: Utilities, water, and residual waste services
COM_TRADE	commodity	EU	TRADE	EU commodity: Trade services
COM_TRANSPORT	commodity	EU	TRANSPORT	EU commodity: Transport and storage
COM_OTHER_MANUFACTURING	commodity	EU	OTHER_MANUFACTURING	EU commodity: Other manufacturing
COM_OTHER_SERVICES	commodity	EU	OTHER_SERVICES	EU commodity: Other market services
COM_PUBLIC_SOCIAL	commodity	EU	PUBLIC_SOCIAL	EU commodity: Public and social services
CAP	factor	EU	CAP	EU factor: Capital
LAB	factor	EU	LAB	EU factor: Labor
HH	institution	EU	HH	EU institution: Households (+ NPISH)
GOV	institution	EU	GOV	EU institution: Government
INV	institution	EU	INV	EU institution: Investment
EXT	external	GLOBAL	EXT	External balance against omitted non-European accounts
