map,from_item,to_item
activity_to_commodity,ACT_AGRI_FOOD,COM_AGRI_FOOD
activity_to_commodity,ACT_EXTRACTIVE,COM_EXTRACTIVE
activity_to_commodity,ACT_BASIC_METALS,COM_BASIC_METALS
activity_to_commodity,ACT_METAL_COMPONENTS,COM_METAL_COMPONENTS
activity_to_commodity,ACT_NEW_ELMA,COM_NEW_ELMA
activity_to_commodity,ACT_NEW_OFMA,COM_NEW_OFMA
activity_to_commodity,ACT_NEW_RATV,COM_NEW_RATV
activity_to_commodity,ACT_REP_ELMA,COM_REP_ELMA
activity_to_commodity,ACT_REP_OFMA,COM_REP_OFMA
activity_to_commodity,ACT_REP_RATV,COM_REP_RATV
activity_to_commodity,ACT_REF_ELMA,COM_REF_ELMA
activity_to_commodity,ACT_REF_OFMA,COM_REF_OFMA
activity_to_commodity,ACT_REF_RATV,COM_REF_RATV
activity_to_commodity,ACT_REU_ELMA,COM_REU_ELMA
activity_to_commodity,ACT_REU_OFMA,COM_REU_OFMA
activity_to_commodity,ACT_REU_RATV,COM_REU_RATV
activity_to_commodity,ACT_REC_EE,COM_REC_EE
activity_to_commodity,ACT_INC_EE,COM_INC_EE
activity_to_commodity,ACT_CONSTRUCTION,COM_CONSTRUCTION
activity_to_commodity,ACT_UTIL_WASTE,COM_UTIL_WASTE
activity_to_commodity,ACT_TRADE,COM_TRADE
activity_to_commodity,ACT_TRANSPORT,COM_TRANSPORT
activity_to_commodity,ACT_OTHER_MANUFACTURING,COM_OTHER_MANUFACTURING
activity_to_commodity,ACT_OTHER_SERVICES,COM_OTHER_SERVICES
activity_to_commodity,ACT_PUBLIC_SOCIAL,COM_PUBLIC_SOCIAL
activity_to_route,ACT_NEW_ELMA,NEW
commodity_to_route,COM_NEW_ELMA,NEW
activity_to_family,ACT_NEW_ELMA,ELMA
commodity_to_family,COM_NEW_ELMA,ELMA
activity_to_service_target,ACT_NEW_ELMA,TST_ELMA
commodity_to_service_target,COM_NEW_ELMA,TST_ELMA
activity_to_eol_target,ACT_NEW_ELMA,EOL_ELMA
commodity_to_eol_target,COM_NEW_ELMA,EOL_ELMA
activity_to_route,ACT_REF_ELMA,REF
commodity_to_route,COM_REF_ELMA,REF
activity_to_family,ACT_REF_ELMA,ELMA
commodity_to_family,COM_REF_ELMA,ELMA
activity_to_service_target,ACT_REF_ELMA,TST_ELMA
commodity_to_service_target,COM_REF_ELMA,TST_ELMA
activity_to_eol_target,ACT_REF_ELMA,EOL_ELMA
commodity_to_eol_target,COM_REF_ELMA,EOL_ELMA
activity_to_route,ACT_REP_ELMA,REP
commodity_to_route,COM_REP_ELMA,REP
activity_to_family,ACT_REP_ELMA,ELMA
commodity_to_family,COM_REP_ELMA,ELMA
activity_to_service_target,ACT_REP_ELMA,TST_ELMA
