set,item,label,description
industries,IND_DE_AGRI_FOOD,DE industry: Agriculture and food,Calibration-SAM account
industries,IND_DE_EXTRACTIVE,DE industry: Extractive industries,Calibration-SAM account
industries,IND_DE_BASIC_METALS,DE industry: Basic metals,Calibration-SAM account
industries,IND_DE_METAL_COMPONENTS,DE industry: Metal components and fabricated metals,Calibration-SAM account
industries,IND_DE_NEW_ELMA,DE industry: New CE-RISE electrical equipment,Calibration-SAM account
industries,IND_DE_NEW_OFMA,DE industry: New CE-RISE office machinery and computers,Calibration-SAM account
industries,IND_DE_NEW_RATV,DE industry: New CE-RISE communication and consumer electronics,Calibration-SAM account
industries,IND_DE_REP_ELMA,DE industry: Repair activities linked to ELMA,Calibration-SAM account
industries,IND_DE_REP_OFMA,DE industry: Repair activities linked to OFMA,Calibration-SAM account
industries,IND_DE_REP_RATV,DE industry: Repair activities linked to RATV,Calibration-SAM account
industries,IND_DE_REF_ELMA,DE industry: Refurbishment route for ELMA,Calibration-SAM account
industries,IND_DE_REF_OFMA,DE industry: Refurbishment route for OFMA,Calibration-SAM account
industries,IND_DE_REF_RATV,DE industry: Refurbishment route for RATV,Calibration-SAM account
industries,IND_DE_REU_ELMA,DE industry: Reuse route for ELMA,Calibration-SAM account
industries,IND_DE_REU_OFMA,DE industry: Reuse route for OFMA,Calibration-SAM account
industries,IND_DE_REU_RATV,DE industry: Reuse route for RATV,Calibration-SAM account
industries,IND_DE_REC_EE,DE industry: Recycling and recovery activities for CE-RISE chains,Calibration-SAM account
industries,IND_DE_INC_EE,DE industry: Incineration and disposal activities for CE-RISE chains,Calibration-SAM account
industries,IND_DE_CONSTRUCTION,DE industry: Construction,Calibration-SAM account
industries,IND_DE_UTIL_WASTE,"DE industry: Utilities, water, and residual waste services",Calibration-SAM account
industries,IND_DE_TRADE,DE industry: Trade services,Calibration-SAM account
industries,IND_DE_TRANSPORT,DE industry: Transport and storage,Calibration-SAM account
industries,IND_DE_OTHER_MANUFACTURING,DE industry: Other manufacturing,Calibration-SAM account
industries,IND_DE_OTHER_SERVICES,DE industry: Other market services,Calibration-SAM account
industries,IND_DE_PUBLIC_SOCIAL,DE industry: Public and social services,Calibration-SAM account
factors,FAC_DE_LAB,DE factor: Labour,Calibration-SAM account
factors,FAC_DE_CAP,DE factor: Capital,Calibration-SAM account
institutions,INS_DE_HH,DE institution: Households (+ NPISH),Calibration-SAM account
institutions,INS_DE_GOV,DE institution: Government,Calibration-SAM account
institutions,INS_DE_INV,DE institution: Investment,Calibration-SAM account
externals,EXT_DE_EXT,DE external account,Calibration-SAM account
industries,IND_FR_AGRI_FOOD,FR industry: Agriculture and food,Calibration-SAM account
industries,IND_FR_EXTRACTIVE,FR industry: Extractive industries,Calibration-SAM account
industries,IND_FR_BASIC_METALS,FR industry: Basic metals,Calibration-SAM account
industries,IND_FR_METAL_COMPONENTS,FR industry: Metal components and fabricated metals,Calibration-SAM account
industries,IND_FR_NEW_ELMA,FR industry: New CE-RISE electrical equipment,Calibration-SAM account
industries,IND_FR_NEW_OFMA,FR industry: New CE-RISE office machinery and computers,Calibration-SAM account
industries,IND_FR_NEW_RATV,FR industry: New CE-RISE communication and consumer electronics,Calibration-SAM account
industries,IND_FR_REP_ELMA,FR industry: Repair activities linked to ELMA,Calibration-SAM account
industries,IND_FR_REP_OFMA,FR industry: Repair activities linked to OFMA,Calibration-SAM account
industries,IND_FR_REP_RATV,FR industry: Repair activities linked to RATV,Calibration-SAM account
industries,IND_FR_REF_ELMA,FR industry: Refurbishment route for ELMA,Calibration-SAM account
industries,IND_FR_REF_OFMA,FR industry: Refurbishment route for OFMA,Calibration-SAM account
industries,IND_FR_REF_RATV,FR industry: Refurbishment route for RATV,Calibration-SAM account
industries,IND_FR_REU_ELMA,FR industry: Reuse route for ELMA,Calibration-SAM account
industries,IND_FR_REU_OFMA,FR industry: Reuse route for OFMA,Calibration-SAM account
industries,IND_FR_REU_RATV,FR industry: Reuse route for RATV,Calibration-SAM account
industries,IND_FR_REC_EE,FR industry: Recycling and recovery activities for CE-RISE chains,Calibration-SAM account
industries,IND_FR_INC_EE,FR industry: Incineration and disposal activities for CE-RISE chains,Calibration-SAM account
industries,IND_FR_CONSTRUCTION,FR industry: Construction,Calibration-SAM account
industries,IND_FR_UTIL_WASTE,"FR industry: Utilities, water, and residual waste services",Calibration-SAM account
industries,IND_FR_TRADE,FR industry: Trade services,Calibration-SAM account
industries,IND_FR_TRANSPORT,FR industry: Transport and storage,Calibration-SAM account
industries,IND_FR_OTHER_MANUFACTURING,FR industry: Other manufacturing,Calibration-SAM account
industries,IND_FR_OTHER_SERVICES,FR industry: Other market services,Calibration-SAM account
industries,IND_FR_PUBLIC_SOCIAL,FR industry: Public and social services,Calibration-SAM account
factors,FAC_FR_LAB,FR factor: Labour,Calibration-SAM account
factors,FAC_FR_CAP,FR factor: Capital,Calibration-SAM account
institutions,INS_FR_HH,FR institution: Households (+ NPISH),Calibration-SAM account
institutions,INS_FR_GOV,FR institution: Government,Calibration-SAM account
institutions,INS_FR_INV,FR institution: Investment,Calibration-SAM account
externals,EXT_FR_EXT,FR external account,Calibration-SAM account
industries,IND_IT_AGRI_FOOD,IT industry: Agriculture and food,Calibration-SAM account
industries,IND_IT_EXTRACTIVE,IT industry: Extractive industries,Calibration-SAM account
industries,IND_IT_BASIC_METALS,IT industry: Basic metals,Calibration-SAM account
industries,IND_IT_METAL_COMPONENTS,IT industry: Metal components and fabricated metals,Calibration-SAM account
industries,IND_IT_NEW_ELMA,IT industry: New CE-RISE electrical equipment,Calibration-SAM account
industries,IND_IT_NEW_OFMA,IT industry: New CE-RISE office machinery and computers,Calibration-SAM account
industries,IND_IT_NEW_RATV,IT industry: New CE-RISE communication and consumer electronics,Calibration-SAM account
industries,IND_IT_REP_ELMA,IT industry: Repair activities linked to ELMA,Calibration-SAM account
industries,IND_IT_REP_OFMA,IT industry: Repair activities linked to OFMA,Calibration-SAM account
industries,IND_IT_REP_RATV,IT industry: Repair activities linked to RATV,Calibration-SAM account
industries,IND_IT_REF_ELMA,IT industry: Refurbishment route for ELMA,Calibration-SAM account
