region	family	route	flow_kind	physical_unit	value_tonnes	source_flow_count	status	source	source_rule
DE	ELMA	NEW	new_product_output	tonnes	1.8112873667117427e6	1	observed	BONSAI-derived CE-RISE disaggregation	family parent activity to matching family parent product
DE	ELMA	REC	route_input_mass	tonnes	1857.9903443317414	4	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
DE	ELMA	REP	route_input_mass	tonnes	315789.7230510781	8	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
DE	OFMA	INC	route_input_mass	tonnes	90.14418953513515	100	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
DE	OFMA	NEW	new_product_output	tonnes	673.2708434081098	1	observed	BONSAI-derived CE-RISE disaggregation	family parent activity to matching family parent product
DE	OFMA	REC	route_input_mass	tonnes	55.88016654951204	40	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
DE	OFMA	REP	route_input_mass	tonnes	6075.814972707744	8	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
DE	OFMA	REU	route_input_mass	tonnes	8.500031836147084	4	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
DE	RATV	INC	route_input_mass	tonnes	8709.630250152353	104	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
DE	RATV	NEW	new_product_output	tonnes	1.7479625322844323e7	1	observed	BONSAI-derived CE-RISE disaggregation	family parent activity to matching family parent product
DE	RATV	REC	route_input_mass	tonnes	5034.57539372914	40	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
DE	RATV	REP	route_input_mass	tonnes	704665.1479794881	8	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
DE	RATV	REU	route_input_mass	tonnes	808.0584619496223	4	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
FR	ELMA	INC	route_input_mass	tonnes	1374.049838571015	100	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
FR	ELMA	NEW	new_product_output	tonnes	746187.515705774	1	observed	BONSAI-derived CE-RISE disaggregation	family parent activity to matching family parent product
FR	ELMA	REC	route_input_mass	tonnes	2066.7506553868225	36	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
FR	ELMA	REP	route_input_mass	tonnes	60072.32964797192	8	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
FR	ELMA	REU	route_input_mass	tonnes	3.0641432910103292	4	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
FR	OFMA	INC	route_input_mass	tonnes	67.09914506263009	120	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
FR	OFMA	NEW	new_product_output	tonnes	98.47018884716	1	observed	BONSAI-derived CE-RISE disaggregation	family parent activity to matching family parent product
FR	OFMA	REC	route_input_mass	tonnes	71.03697970954018	45	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
FR	OFMA	REP	route_input_mass	tonnes	5834.116670252924	10	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
FR	OFMA	REU	route_input_mass	tonnes	0.5766452351370597	5	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
FR	RATV	INC	route_input_mass	tonnes	1214.8253730569343	100	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
FR	RATV	NEW	new_product_output	tonnes	1.784814985377208e6	1	observed	BONSAI-derived CE-RISE disaggregation	family parent activity to matching family parent product
FR	RATV	REC	route_input_mass	tonnes	1391.0671661513136	36	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
FR	RATV	REP	route_input_mass	tonnes	122911.46659974399	8	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
FR	RATV	REU	route_input_mass	tonnes	2.823434648629947	4	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
IT	ELMA	INC	route_input_mass	tonnes	71.04455341879004	96	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
