subset,parent_set,item
de_industries,industries,IND_DE_AGRI_FOOD
de_industries,industries,IND_DE_EXTRACTIVE
de_industries,industries,IND_DE_BASIC_METALS
upstream_material_industries,industries,IND_DE_BASIC_METALS
de_industries,industries,IND_DE_METAL_COMPONENTS
upstream_material_industries,industries,IND_DE_METAL_COMPONENTS
de_industries,industries,IND_DE_NEW_ELMA
service_route_industries,industries,IND_DE_NEW_ELMA
new_route_industries,industries,IND_DE_NEW_ELMA
de_industries,industries,IND_DE_NEW_OFMA
service_route_industries,industries,IND_DE_NEW_OFMA
new_route_industries,industries,IND_DE_NEW_OFMA
de_industries,industries,IND_DE_NEW_RATV
service_route_industries,industries,IND_DE_NEW_RATV
new_route_industries,industries,IND_DE_NEW_RATV
de_industries,industries,IND_DE_REP_ELMA
service_route_industries,industries,IND_DE_REP_ELMA
repair_route_industries,industries,IND_DE_REP_ELMA
de_industries,industries,IND_DE_REP_OFMA
service_route_industries,industries,IND_DE_REP_OFMA
repair_route_industries,industries,IND_DE_REP_OFMA
de_industries,industries,IND_DE_REP_RATV
service_route_industries,industries,IND_DE_REP_RATV
repair_route_industries,industries,IND_DE_REP_RATV
de_industries,industries,IND_DE_REF_ELMA
service_route_industries,industries,IND_DE_REF_ELMA
refurbishment_route_industries,industries,IND_DE_REF_ELMA
de_industries,industries,IND_DE_REF_OFMA
service_route_industries,industries,IND_DE_REF_OFMA
refurbishment_route_industries,industries,IND_DE_REF_OFMA
de_industries,industries,IND_DE_REF_RATV
service_route_industries,industries,IND_DE_REF_RATV
refurbishment_route_industries,industries,IND_DE_REF_RATV
de_industries,industries,IND_DE_REU_ELMA
service_route_industries,industries,IND_DE_REU_ELMA
reuse_route_industries,industries,IND_DE_REU_ELMA
de_industries,industries,IND_DE_REU_OFMA
service_route_industries,industries,IND_DE_REU_OFMA
reuse_route_industries,industries,IND_DE_REU_OFMA
de_industries,industries,IND_DE_REU_RATV
service_route_industries,industries,IND_DE_REU_RATV
reuse_route_industries,industries,IND_DE_REU_RATV
de_industries,industries,IND_DE_REC_EE
eol_processing_industries,industries,IND_DE_REC_EE
de_industries,industries,IND_DE_INC_EE
eol_processing_industries,industries,IND_DE_INC_EE
de_industries,industries,IND_DE_CONSTRUCTION
de_industries,industries,IND_DE_UTIL_WASTE
de_industries,industries,IND_DE_TRADE
de_industries,industries,IND_DE_TRANSPORT
de_industries,industries,IND_DE_OTHER_MANUFACTURING
de_industries,industries,IND_DE_OTHER_SERVICES
de_industries,industries,IND_DE_PUBLIC_SOCIAL
de_factors,factors,FAC_DE_LAB
de_factors,factors,FAC_DE_CAP
de_institutions,institutions,INS_DE_HH
de_institutions,institutions,INS_DE_GOV
de_institutions,institutions,INS_DE_INV
de_externals,externals,EXT_DE_EXT
fr_industries,industries,IND_FR_AGRI_FOOD
fr_industries,industries,IND_FR_EXTRACTIVE
fr_industries,industries,IND_FR_BASIC_METALS
upstream_material_industries,industries,IND_FR_BASIC_METALS
fr_industries,industries,IND_FR_METAL_COMPONENTS
upstream_material_industries,industries,IND_FR_METAL_COMPONENTS
fr_industries,industries,IND_FR_NEW_ELMA
service_route_industries,industries,IND_FR_NEW_ELMA
new_route_industries,industries,IND_FR_NEW_ELMA
fr_industries,industries,IND_FR_NEW_OFMA
service_route_industries,industries,IND_FR_NEW_OFMA
new_route_industries,industries,IND_FR_NEW_OFMA
fr_industries,industries,IND_FR_NEW_RATV
service_route_industries,industries,IND_FR_NEW_RATV
new_route_industries,industries,IND_FR_NEW_RATV
fr_industries,industries,IND_FR_REP_ELMA
service_route_industries,industries,IND_FR_REP_ELMA
repair_route_industries,industries,IND_FR_REP_ELMA
fr_industries,industries,IND_FR_REP_OFMA
service_route_industries,industries,IND_FR_REP_OFMA
repair_route_industries,industries,IND_FR_REP_OFMA
fr_industries,industries,IND_FR_REP_RATV
service_route_industries,industries,IND_FR_REP_RATV
repair_route_industries,industries,IND_FR_REP_RATV
fr_industries,industries,IND_FR_REF_ELMA
service_route_industries,industries,IND_FR_REF_ELMA
refurbishment_route_industries,industries,IND_FR_REF_ELMA
fr_industries,industries,IND_FR_REF_OFMA
service_route_industries,industries,IND_FR_REF_OFMA
refurbishment_route_industries,industries,IND_FR_REF_OFMA
fr_industries,industries,IND_FR_REF_RATV
service_route_industries,industries,IND_FR_REF_RATV
refurbishment_route_industries,industries,IND_FR_REF_RATV
fr_industries,industries,IND_FR_REU_ELMA
service_route_industries,industries,IND_FR_REU_ELMA
reuse_route_industries,industries,IND_FR_REU_ELMA
fr_industries,industries,IND_FR_REU_OFMA
service_route_industries,industries,IND_FR_REU_OFMA
reuse_route_industries,industries,IND_FR_REU_OFMA
fr_industries,industries,IND_FR_REU_RATV
service_route_industries,industries,IND_FR_REU_RATV
reuse_route_industries,industries,IND_FR_REU_RATV
fr_industries,industries,IND_FR_REC_EE
eol_processing_industries,industries,IND_FR_REC_EE
fr_industries,industries,IND_FR_INC_EE
eol_processing_industries,industries,IND_FR_INC_EE
fr_industries,industries,IND_FR_CONSTRUCTION
fr_industries,industries,IND_FR_UTIL_WASTE
fr_industries,industries,IND_FR_TRADE
fr_industries,industries,IND_FR_TRANSPORT
fr_industries,industries,IND_FR_OTHER_MANUFACTURING
fr_industries,industries,IND_FR_OTHER_SERVICES
fr_industries,industries,IND_FR_PUBLIC_SOCIAL
fr_factors,factors,FAC_FR_LAB
fr_factors,factors,FAC_FR_CAP
fr_institutions,institutions,INS_FR_HH
fr_institutions,institutions,INS_FR_GOV
fr_institutions,institutions,INS_FR_INV
fr_externals,externals,EXT_FR_EXT
it_industries,industries,IND_IT_AGRI_FOOD
it_industries,industries,IND_IT_EXTRACTIVE
it_industries,industries,IND_IT_BASIC_METALS
upstream_material_industries,industries,IND_IT_BASIC_METALS
it_industries,industries,IND_IT_METAL_COMPONENTS
upstream_material_industries,industries,IND_IT_METAL_COMPONENTS
it_industries,industries,IND_IT_NEW_ELMA
service_route_industries,industries,IND_IT_NEW_ELMA
new_route_industries,industries,IND_IT_NEW_ELMA
it_industries,industries,IND_IT_NEW_OFMA
service_route_industries,industries,IND_IT_NEW_OFMA
new_route_industries,industries,IND_IT_NEW_OFMA
it_industries,industries,IND_IT_NEW_RATV
service_route_industries,industries,IND_IT_NEW_RATV
new_route_industries,industries,IND_IT_NEW_RATV
it_industries,industries,IND_IT_REP_ELMA
service_route_industries,industries,IND_IT_REP_ELMA
repair_route_industries,industries,IND_IT_REP_ELMA
it_industries,industries,IND_IT_REP_OFMA
service_route_industries,industries,IND_IT_REP_OFMA
repair_route_industries,industries,IND_IT_REP_OFMA
it_industries,industries,IND_IT_REP_RATV
service_route_industries,industries,IND_IT_REP_RATV
repair_route_industries,industries,IND_IT_REP_RATV
it_industries,industries,IND_IT_REF_ELMA
service_route_industries,industries,IND_IT_REF_ELMA
refurbishment_route_industries,industries,IND_IT_REF_ELMA
it_industries,industries,IND_IT_REF_OFMA
service_route_industries,industries,IND_IT_REF_OFMA
refurbishment_route_industries,industries,IND_IT_REF_OFMA
it_industries,industries,IND_IT_REF_RATV
service_route_industries,industries,IND_IT_REF_RATV
refurbishment_route_industries,industries,IND_IT_REF_RATV
it_industries,industries,IND_IT_REU_ELMA
service_route_industries,industries,IND_IT_REU_ELMA
reuse_route_industries,industries,IND_IT_REU_ELMA
it_industries,industries,IND_IT_REU_OFMA
service_route_industries,industries,IND_IT_REU_OFMA
reuse_route_industries,industries,IND_IT_REU_OFMA
it_industries,industries,IND_IT_REU_RATV
service_route_industries,industries,IND_IT_REU_RATV
reuse_route_industries,industries,IND_IT_REU_RATV
it_industries,industries,IND_IT_REC_EE
eol_processing_industries,industries,IND_IT_REC_EE
it_industries,industries,IND_IT_INC_EE
eol_processing_industries,industries,IND_IT_INC_EE
it_industries,industries,IND_IT_CONSTRUCTION
it_industries,industries,IND_IT_UTIL_WASTE
it_industries,industries,IND_IT_TRADE
it_industries,industries,IND_IT_TRANSPORT
it_industries,industries,IND_IT_OTHER_MANUFACTURING
it_industries,industries,IND_IT_OTHER_SERVICES
it_industries,industries,IND_IT_PUBLIC_SOCIAL
it_factors,factors,FAC_IT_LAB
it_factors,factors,FAC_IT_CAP
it_institutions,institutions,INS_IT_HH
it_institutions,institutions,INS_IT_GOV
it_institutions,institutions,INS_IT_INV
it_externals,externals,EXT_IT_EXT
pl_industries,industries,IND_PL_AGRI_FOOD
pl_industries,industries,IND_PL_EXTRACTIVE
pl_industries,industries,IND_PL_BASIC_METALS
upstream_material_industries,industries,IND_PL_BASIC_METALS
pl_industries,industries,IND_PL_METAL_COMPONENTS
upstream_material_industries,industries,IND_PL_METAL_COMPONENTS
pl_industries,industries,IND_PL_NEW_ELMA
service_route_industries,industries,IND_PL_NEW_ELMA
new_route_industries,industries,IND_PL_NEW_ELMA
pl_industries,industries,IND_PL_NEW_OFMA
service_route_industries,industries,IND_PL_NEW_OFMA
new_route_industries,industries,IND_PL_NEW_OFMA
pl_industries,industries,IND_PL_NEW_RATV
service_route_industries,industries,IND_PL_NEW_RATV
new_route_industries,industries,IND_PL_NEW_RATV
pl_industries,industries,IND_PL_REP_ELMA
service_route_industries,industries,IND_PL_REP_ELMA
repair_route_industries,industries,IND_PL_REP_ELMA
pl_industries,industries,IND_PL_REP_OFMA
service_route_industries,industries,IND_PL_REP_OFMA
repair_route_industries,industries,IND_PL_REP_OFMA
pl_industries,industries,IND_PL_REP_RATV
service_route_industries,industries,IND_PL_REP_RATV
repair_route_industries,industries,IND_PL_REP_RATV
pl_industries,industries,IND_PL_REF_ELMA
service_route_industries,industries,IND_PL_REF_ELMA
refurbishment_route_industries,industries,IND_PL_REF_ELMA
pl_industries,industries,IND_PL_REF_OFMA
service_route_industries,industries,IND_PL_REF_OFMA
refurbishment_route_industries,industries,IND_PL_REF_OFMA
pl_industries,industries,IND_PL_REF_RATV
service_route_industries,industries,IND_PL_REF_RATV
refurbishment_route_industries,industries,IND_PL_REF_RATV
pl_industries,industries,IND_PL_REU_ELMA
service_route_industries,industries,IND_PL_REU_ELMA
reuse_route_industries,industries,IND_PL_REU_ELMA
pl_industries,industries,IND_PL_REU_OFMA
service_route_industries,industries,IND_PL_REU_OFMA
reuse_route_industries,industries,IND_PL_REU_OFMA
pl_industries,industries,IND_PL_REU_RATV
service_route_industries,industries,IND_PL_REU_RATV
reuse_route_industries,industries,IND_PL_REU_RATV
pl_industries,industries,IND_PL_REC_EE
eol_processing_industries,industries,IND_PL_REC_EE
pl_industries,industries,IND_PL_INC_EE
eol_processing_industries,industries,IND_PL_INC_EE
pl_industries,industries,IND_PL_CONSTRUCTION
pl_industries,industries,IND_PL_UTIL_WASTE
pl_industries,industries,IND_PL_TRADE
pl_industries,industries,IND_PL_TRANSPORT
pl_industries,industries,IND_PL_OTHER_MANUFACTURING
pl_industries,industries,IND_PL_OTHER_SERVICES
pl_industries,industries,IND_PL_PUBLIC_SOCIAL
pl_factors,factors,FAC_PL_LAB
pl_factors,factors,FAC_PL_CAP
pl_institutions,institutions,INS_PL_HH
pl_institutions,institutions,INS_PL_GOV
