sensitivity_profile,stage,scenario,instrument,wedge,termination_status,primal_status,solver_valid,solver_elapsed_seconds,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,worst_equation_block,worst_equation_tag,worst_equation_indices,worst_equation_scaled_residual,worst_bound_variable,worst_bound_violation,solver_message,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,target_profile,source_profile,continued_parameter,source_parameter_value,target_parameter_value,trial_fraction,trial_parameter_value,continuation_phase,continuation_path,attempt,trial_accepted
sensitivity_152,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,53.319603745,0.0010555722719660654,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010555722719660654,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,1.0,2.0,1.0,0.5,sensitivity_152,sensitivity_098,circular_routes.eol_allocation_elasticity,0.5,2.0,1.0,2.0,direct_target,diagonal_tax_parameter,1,false
sensitivity_152,policy,virgin_metal_tax_tax_0_01,virgin_metal_tax,0.01,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,11.642561639,0.0005354575451763655,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0005354575451763655,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,1.0,2.0,1.0,0.5,sensitivity_152,sensitivity_098,circular_routes.eol_allocation_elasticity,0.5,2.0,0.5,1.25,parameter_bisection,diagonal_tax_parameter,2,true
sensitivity_152,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,13.812088936,0.0007640966548920769,0,7.737121462941014e-9,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0007640966548920769,F_FAC_SK_CAP_IND_SK_NEW_OFMA,7.737121462941014e-9,,1.0,2.0,1.0,2.0,1.0,0.5,sensitivity_152,sensitivity_098,circular_routes.eol_allocation_elasticity,0.5,2.0,1.0,2.0,parameter_bisection,diagonal_tax_parameter,3,true
sensitivity_153,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,OTHER_ERROR,NEARLY_FEASIBLE_POINT,false,50.951194251,0.0005156272882347324,0,9.92108499571051e-9,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0005156272882347324,Y_IND_SK_NEW_OFMA,9.92108499571051e-9,,2.0,2.0,1.0,2.0,1.0,0.5,sensitivity_153,sensitivity_147,trade.cet_transformation_elasticity,0.5,2.0,1.0,2.0,direct_target,diagonal_tax_parameter,1,false
sensitivity_153,policy,virgin_metal_tax_tax_0_01,virgin_metal_tax,0.01,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,18.309955975,0.0004740830704828003,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0004740830704828003,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,1.0,2.0,1.0,0.5,sensitivity_153,sensitivity_147,trade.cet_transformation_elasticity,0.5,2.0,0.5,1.25,parameter_bisection,diagonal_tax_parameter,2,true
sensitivity_153,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,54.80238833,0.0012572330686052569,1,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0012572330686052569,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,1.0,2.0,1.0,0.5,sensitivity_153,sensitivity_147,trade.cet_transformation_elasticity,0.5,2.0,1.0,2.0,parameter_bisection,diagonal_tax_parameter,3,false
sensitivity_153,policy,virgin_metal_tax_tax_0_015,virgin_metal_tax,0.015,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,25.047807326,0.0009300352172588733,0,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0009300352172588733,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,1.0,2.0,1.0,0.5,sensitivity_153,sensitivity_147,trade.cet_transformation_elasticity,0.5,2.0,0.75,1.625,parameter_bisection,diagonal_tax_parameter,4,true
sensitivity_153,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,76.515110385,0.0010946124713449947,2,0.0,0,common_eu_trade,eu_cet_quantity,NEW_ELMA|SK,0.0010946124713449947,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,1.0,2.0,1.0,0.5,sensitivity_153,sensitivity_147,trade.cet_transformation_elasticity,0.5,2.0,1.0,2.0,parameter_bisection,diagonal_tax_parameter,5,false
sensitivity_153,policy,virgin_metal_tax_tax_0_0175,virgin_metal_tax,0.0175,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,103.45922389,0.001727746523978002,1,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,0.001727746523978002,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,1.0,2.0,1.0,0.5,sensitivity_153,sensitivity_147,trade.cet_transformation_elasticity,0.5,2.0,0.875,1.8125,parameter_bisection,diagonal_tax_parameter,6,false
sensitivity_153,policy,virgin_metal_tax_tax_0_01625,virgin_metal_tax,0.01625,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,87.470670018,0.00278809283170367,1,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,0.00278809283170367,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,1.0,2.0,1.0,0.5,sensitivity_153,sensitivity_147,trade.cet_transformation_elasticity,0.5,2.0,0.8125,1.71875,parameter_bisection,diagonal_tax_parameter,7,false
