sensitivity_profile,stage,scenario,instrument,wedge,termination_status,primal_status,solver_valid,solver_elapsed_seconds,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,worst_equation_block,worst_equation_tag,worst_equation_indices,worst_equation_scaled_residual,worst_bound_variable,worst_bound_violation,solver_message,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,target_profile,source_profile,continued_parameter,source_parameter_value,target_parameter_value,trial_fraction,trial_parameter_value,continuation_phase,continuation_path,attempt,trial_accepted
sensitivity_638,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,OTHER_ERROR,NEARLY_FEASIBLE_POINT,false,105.685057205,0.008644583375515769,3,9.997859543253289e-9,0,eu_wide_eol_allocation,eu_wide_eol_allocation,OFMA|EOL_SK_OFMA_REU,0.008644583375515769,Z_IND_FR_NEW_OFMA,9.997859543253289e-9,,1.0,2.0,1.0,2.0,1.0,2.0,sensitivity_638,sensitivity_557,circular_routes.eol_productivity_elasticity,0.5,1.0,1.0,1.0,direct_target,diagonal_tax_parameter,1,false
sensitivity_638,policy,virgin_metal_tax_tax_0_01,virgin_metal_tax,0.01,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,21.590715619,0.0005282663966083012,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0005282663966083012,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,1.0,2.0,1.0,2.0,sensitivity_638,sensitivity_557,circular_routes.eol_productivity_elasticity,0.5,1.0,0.5,0.75,parameter_bisection,diagonal_tax_parameter,2,true
sensitivity_638,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,29.705375103,0.006485883481019528,1,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,0.006485883481019528,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,1.0,2.0,1.0,2.0,sensitivity_638,sensitivity_557,circular_routes.eol_productivity_elasticity,0.5,1.0,1.0,1.0,parameter_bisection,diagonal_tax_parameter,3,false
sensitivity_638,policy,virgin_metal_tax_tax_0_015,virgin_metal_tax,0.015,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,26.699677303,0.0006648556631105862,0,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0006648556631105862,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,1.0,2.0,1.0,2.0,sensitivity_638,sensitivity_557,circular_routes.eol_productivity_elasticity,0.5,1.0,0.75,0.875,parameter_bisection,diagonal_tax_parameter,4,true
sensitivity_638,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,50.540841968,0.0010597580932558692,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010597580932558692,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,1.0,2.0,1.0,2.0,sensitivity_638,sensitivity_557,circular_routes.eol_productivity_elasticity,0.5,1.0,1.0,1.0,parameter_bisection,diagonal_tax_parameter,5,false
sensitivity_638,policy,virgin_metal_tax_tax_0_0175,virgin_metal_tax,0.0175,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,43.123010328,0.004037290615690581,1,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,0.004037290615690581,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,1.0,2.0,1.0,2.0,sensitivity_638,sensitivity_557,circular_routes.eol_productivity_elasticity,0.5,1.0,0.875,0.9375,parameter_bisection,diagonal_tax_parameter,6,false
sensitivity_638,policy,virgin_metal_tax_tax_0_01625,virgin_metal_tax,0.01625,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,30.930896339,0.0016829403278961763,1,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,0.0016829403278961763,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,1.0,2.0,1.0,2.0,sensitivity_638,sensitivity_557,circular_routes.eol_productivity_elasticity,0.5,1.0,0.8125,0.90625,parameter_bisection,diagonal_tax_parameter,7,false
sensitivity_638,policy,virgin_metal_tax_tax_0_015625,virgin_metal_tax,0.015625,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,12.939053691,0.011493892330932454,3,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,0.011493892330932454,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,1.0,2.0,1.0,2.0,sensitivity_638,sensitivity_557,circular_routes.eol_productivity_elasticity,0.5,1.0,0.78125,0.890625,parameter_bisection,diagonal_tax_parameter,8,false
sensitivity_638,policy,virgin_metal_tax_tax_0_0153125,virgin_metal_tax,0.0153125,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,10.963020104,0.0005876058188163391,0,9.909163377765268e-9,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0005876058188163391,F_FAC_SK_LAB_IND_SK_NEW_OFMA,9.909163377765268e-9,,1.0,2.0,1.0,2.0,1.0,2.0,sensitivity_638,sensitivity_557,circular_routes.eol_productivity_elasticity,0.5,1.0,0.765625,0.8828125,parameter_bisection,diagonal_tax_parameter,9,true
sensitivity_638,policy,virgin_metal_tax_tax_0_0159375,virgin_metal_tax,0.0159375,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,32.038415078,0.0008468934403823569,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0008468934403823569,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,1.0,2.0,1.0,2.0,sensitivity_638,sensitivity_557,circular_routes.eol_productivity_elasticity,0.5,1.0,0.796875,0.8984375,parameter_bisection,diagonal_tax_parameter,10,true
sensitivity_638,policy,virgin_metal_tax_tax_0_0171875,virgin_metal_tax,0.0171875,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,19.552264014,0.15858822620660384,1,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,0.15858822620660384,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,1.0,2.0,1.0,2.0,sensitivity_638,sensitivity_557,circular_routes.eol_productivity_elasticity,0.5,1.0,0.859375,0.9296875,parameter_bisection,diagonal_tax_parameter,11,false
sensitivity_638,policy,virgin_metal_tax_tax_0_0165625,virgin_metal_tax,0.0165625,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,13.941096473,0.0007503464456165565,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0007503464456165565,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,1.0,2.0,1.0,2.0,sensitivity_638,sensitivity_557,circular_routes.eol_productivity_elasticity,0.5,1.0,0.828125,0.9140625,parameter_bisection,diagonal_tax_parameter,12,true
