sensitivity_profile,stage,scenario,instrument,wedge,termination_status,primal_status,solver_valid,solver_elapsed_seconds,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,worst_equation_block,worst_equation_tag,worst_equation_indices,worst_equation_scaled_residual,worst_bound_variable,worst_bound_violation,solver_message,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,target_profile,source_profile,continued_parameter,source_parameter_value,target_parameter_value,trial_fraction,trial_parameter_value,continuation_phase,continuation_path,attempt,trial_accepted
sensitivity_683,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,36.997019276,0.0010366536933800186,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010366536933800186,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,0.5,1.0,2.0,2.0,sensitivity_683,sensitivity_656,circular_routes.eol_allocation_elasticity,0.5,1.0,1.0,1.0,direct_target,parameter_only,1,false
sensitivity_683,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,45.155099852,0.0010489480718803845,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010489480718803845,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,0.5,1.0,2.0,2.0,sensitivity_683,sensitivity_656,circular_routes.eol_allocation_elasticity,0.5,1.0,0.5,0.75,parameter_bisection,parameter_only,2,false
sensitivity_683,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,5.407583561,0.0009699550265417356,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0009699550265417356,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,0.5,1.0,2.0,2.0,sensitivity_683,sensitivity_656,circular_routes.eol_allocation_elasticity,0.5,1.0,0.25,0.625,parameter_bisection,parameter_only,3,true
sensitivity_683,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,7.705947204,0.0009968948728564797,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0009968948728564797,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,0.5,1.0,2.0,2.0,sensitivity_683,sensitivity_656,circular_routes.eol_allocation_elasticity,0.5,1.0,0.75,0.875,parameter_bisection,parameter_only,4,true
sensitivity_683,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,9.972560883,0.0010237890383988368,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010237890383988368,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,0.5,1.0,2.0,2.0,sensitivity_683,sensitivity_656,circular_routes.eol_allocation_elasticity,0.5,1.0,1.0,1.0,parameter_bisection,parameter_only,5,false
sensitivity_683,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,30.984606135,0.0010770055697678638,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010770055697678638,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,0.5,1.0,2.0,2.0,sensitivity_683,sensitivity_656,circular_routes.eol_allocation_elasticity,0.5,1.0,0.875,0.9375,parameter_bisection,parameter_only,6,false
sensitivity_683,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,34.749017306,0.0010755235453666634,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010755235453666634,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,0.5,1.0,2.0,2.0,sensitivity_683,sensitivity_656,circular_routes.eol_allocation_elasticity,0.5,1.0,0.8125,0.90625,parameter_bisection,parameter_only,7,false
sensitivity_683,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,4.455267114,0.0009958569505350567,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0009958569505350567,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,0.5,1.0,2.0,2.0,sensitivity_683,sensitivity_656,circular_routes.eol_allocation_elasticity,0.5,1.0,0.78125,0.890625,parameter_bisection,parameter_only,8,true
sensitivity_683,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,6.428102767,0.001011773607142663,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.001011773607142663,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,0.5,1.0,2.0,2.0,sensitivity_683,sensitivity_656,circular_routes.eol_allocation_elasticity,0.5,1.0,0.84375,0.921875,parameter_bisection,parameter_only,9,false
sensitivity_683,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,5.127554983,0.0009969644646373732,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0009969644646373732,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,0.5,1.0,2.0,2.0,sensitivity_683,sensitivity_656,circular_routes.eol_allocation_elasticity,0.5,1.0,0.8125,0.90625,parameter_bisection,parameter_only,10,true
