sensitivity_profile,stage,scenario,instrument,wedge,termination_status,primal_status,solver_valid,solver_elapsed_seconds,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,worst_equation_block,worst_equation_tag,worst_equation_indices,worst_equation_scaled_residual,worst_bound_variable,worst_bound_violation,solver_message,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,source_profile,changed_parameter,parameter_distance,source_baseline_valid,source_tax_valid,continuation_error
sensitivity_688,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 2, bound violations above tolerance 0.",0.5,1.0,1.0,1.0,2.0,2.0,sensitivity_445,circular_metal.material_substitution_elasticity,0.6931471805599453,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 2, bound violations above tolerance 0."
sensitivity_688,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_01: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0.",0.5,1.0,1.0,1.0,2.0,2.0,sensitivity_715,circular_routes.eol_allocation_elasticity,0.6931471805599453,,,"Policy solve failed at virgin_metal_tax_tax_0_01: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0."
sensitivity_688,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0.",0.5,1.0,1.0,1.0,2.0,2.0,sensitivity_607,circular_routes.eol_productivity_elasticity,0.6931471805599453,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0."
sensitivity_688,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0.",0.5,1.0,1.0,1.0,2.0,2.0,sensitivity_679,circular_routes.service_elasticity,0.6931471805599453,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0."
sensitivity_688,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,17.573315988,0.0010283390866371472,1,0.0,0,common_eu_trade,eu_cet_quantity,NEW_ELMA|SK,0.0010283390866371472,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,1.0,1.0,1.0,2.0,2.0,sensitivity_697,circular_routes.service_elasticity,0.6931471805599453,true,true,
sensitivity_688,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_01: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 3, bound violations above tolerance 0.",0.5,1.0,1.0,1.0,2.0,2.0,sensitivity_689,trade.armington_elasticity,0.6931471805599453,,,"Policy solve failed at virgin_metal_tax_tax_0_01: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 3, bound violations above tolerance 0."
sensitivity_688,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_0075: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 71, bound violations above tolerance 0.",0.5,1.0,1.0,1.0,2.0,2.0,sensitivity_685,trade.cet_transformation_elasticity,0.6931471805599453,,,"Policy solve failed at virgin_metal_tax_tax_0_0075: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 71, bound violations above tolerance 0."
sensitivity_688,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_01: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 3, bound violations above tolerance 0.",0.5,1.0,1.0,1.0,2.0,2.0,sensitivity_691,trade.cet_transformation_elasticity,0.6931471805599453,,,"Policy solve failed at virgin_metal_tax_tax_0_01: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 3, bound violations above tolerance 0."
sensitivity_688,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0.",0.5,1.0,1.0,1.0,2.0,2.0,sensitivity_202,circular_metal.material_substitution_elasticity,1.3862943611198906,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0."
sensitivity_688,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_0175: status TIME_LIMIT, scaled residuals above tolerance 268, bound violations above tolerance 0.",0.5,1.0,1.0,1.0,2.0,2.0,sensitivity_526,circular_routes.eol_productivity_elasticity,1.3862943611198906,,,"Policy solve failed at virgin_metal_tax_tax_0_0175: status TIME_LIMIT, scaled residuals above tolerance 268, bound violations above tolerance 0."
