instrument,wedge_percent,region,activity_group,valid_parameter_configurations,median_output_change_percent,lower_quartile_output_change_percent,upper_quartile_output_change_percent
recycling_support,0.25,DE,Basic metals,729,-3.5250805940910256e-6,-5.186337304064668e-6,-1.1088315821083972e-6
recycling_support,0.25,DE,Metal components,729,9.698852454498194e-6,6.244193362370064e-6,1.9523788252763307e-5
recycling_support,0.25,DE,Other manufacturing,729,-1.0149994733588139e-6,-2.790394360019378e-6,1.506680791241167e-6
recycling_support,0.25,DE,Other services,729,-1.853908315752051e-6,-4.511247131411271e-6,-5.764939858821096e-7
recycling_support,0.25,DE,Trade,729,8.986034694125075e-6,-1.1610296835051785e-6,1.6574485639520037e-5
recycling_support,0.25,FR,Basic metals,729,-1.4734214803863202e-5,-2.035710571235693e-5,-4.482720039636051e-6
recycling_support,0.25,FR,Metal components,729,1.6549277703780775e-5,5.4387846004640415e-6,3.4892094202824934e-5
recycling_support,0.25,FR,Other manufacturing,729,-2.839371152640898e-5,-5.810906330561159e-5,-1.9036757170631882e-6
recycling_support,0.25,FR,Other services,729,-1.2173027308382e-5,-1.720552933459633e-5,-8.980447230300122e-6
recycling_support,0.25,FR,Trade,729,9.176594639725997e-6,6.283398357176423e-7,1.3169451917871589e-5
recycling_support,0.25,IT,Basic metals,729,-5.9015440090530785e-6,-9.387788280094763e-6,-1.8056706796483054e-6
recycling_support,0.25,IT,Metal components,729,1.2134217186599049e-5,7.814716851406174e-6,2.4049783609036115e-5
recycling_support,0.25,IT,Other manufacturing,729,-5.7006744769161556e-6,-1.0121435023435794e-5,1.1216959250326435e-6
recycling_support,0.25,IT,Other services,729,-3.704438824581057e-5,-9.711250280597397e-5,-1.1511877751058139e-5
recycling_support,0.25,IT,Trade,729,6.743770841755063e-6,-2.371795193578672e-6,2.289767357943629e-5
recycling_support,0.25,PL,Basic metals,729,-3.543801641168518e-5,-4.880062262265396e-5,-1.0382134119722049e-5
recycling_support,0.25,PL,Metal components,729,6.0405708059399404e-5,2.4151690869986666e-5,0.0001060099953626975
recycling_support,0.25,PL,Other manufacturing,729,-8.319526887402352e-5,-0.00012323134925830022,-2.5264071079615515e-5
recycling_support,0.25,PL,Other services,729,-4.605884695863419e-6,-2.1730071797512333e-5,1.5214462356640974e-6
recycling_support,0.25,PL,Trade,729,1.6568986715983457e-5,-2.2873780758385458e-6,3.231907670376215e-5
recycling_support,0.25,REU,Basic metals,729,-1.3997616288286122e-6,-1.985834607864949e-6,-7.725352690890524e-7
recycling_support,0.25,REU,Metal components,729,3.710351625940682e-6,1.6861624652087182e-6,6.5883963062953005e-6
recycling_support,0.25,REU,Other manufacturing,729,-6.853446032906163e-7,-2.4581633506493e-6,3.01123570523032e-8
recycling_support,0.25,REU,Other services,729,7.477918728682198e-7,-1.585794384695305e-7,1.4087271571483484e-6
recycling_support,0.25,REU,Trade,729,1.3817764710211125e-7,-1.2775002056208964e-6,1.1122039622613047e-6
recycling_support,0.25,SK,Basic metals,729,-9.989451362269328e-5,-0.0001368663896464898,-2.9943289488040352e-5
recycling_support,0.25,SK,Metal components,729,0.0002718014469690386,0.00015824654098239862,0.0005853779048265641
recycling_support,0.25,SK,Other manufacturing,729,0.00011295952479372608,3.2161873065621954e-5,0.00030038917941813847
recycling_support,0.25,SK,Other services,729,0.0004159326282052547,0.00015512188900057537,0.0007641914906110907
recycling_support,0.25,SK,Trade,729,-0.0010828175604449247,-0.0015590129911279631,-0.0005853921989299332
recycling_support,0.5,DE,Basic metals,729,-5.139865344450777e-6,-1.371459994459397e-5,-1.8169533211329756e-6
recycling_support,0.5,DE,Metal components,729,2.1792341597936282e-5,1.2534004034667327e-5,3.399865204922497e-5
recycling_support,0.5,DE,Other manufacturing,729,-7.333911256068861e-10,-2.435862578309411e-6,2.5946367054885404e-6
recycling_support,0.5,DE,Other services,729,-3.2925646209491796e-6,-7.458737916188342e-6,-1.5147816334604163e-6
recycling_support,0.5,DE,Trade,729,1.8708097959674343e-5,6.185396184132961e-6,2.3630680578978803e-5
recycling_support,0.5,FR,Basic metals,729,-2.0370308606689187e-5,-5.6727257758169024e-5,-7.578910876700987e-6
recycling_support,0.5,FR,Metal components,729,3.141639910442066e-5,1.6124184620826016e-5,4.534241360154288e-5
recycling_support,0.5,FR,Other manufacturing,729,-5.335859659672007e-5,-0.00013403074842210987,-1.905584516848104e-5
recycling_support,0.5,FR,Other services,729,-1.7873801727574807e-5,-2.6179912671064908e-5,-1.3571820167701542e-5
recycling_support,0.5,FR,Trade,729,4.746139548039723e-6,-9.530818834147006e-6,1.1815309641782822e-5
recycling_support,0.5,IT,Basic metals,729,-8.799004025420156e-6,-2.3200034660102118e-5,-3.384198787877225e-6
recycling_support,0.5,IT,Metal components,729,2.343687212080808e-5,1.4771583756178809e-5,4.216939200052541e-5
recycling_support,0.5,IT,Other manufacturing,729,-7.006419788790924e-6,-1.379536893608705e-5,4.1455443522409205e-7
recycling_support,0.5,IT,Other services,729,-5.7284256005374406e-5,-0.00012460529158486746,-1.9880029211716314e-5
recycling_support,0.5,IT,Trade,729,1.0543837936083446e-5,-9.366995212811739e-6,3.786483874224109e-5
recycling_support,0.5,PL,Basic metals,729,-4.846313172087954e-5,-0.00013779600724398672,-1.7375554695841924e-5
recycling_support,0.5,PL,Metal components,729,9.554581678242237e-5,4.589451025968834e-5,0.00021938334157542796
recycling_support,0.5,PL,Other manufacturing,729,-0.00013409018692068302,-0.00027130537815226623,-6.544332389336065e-5
recycling_support,0.5,PL,Other services,729,-9.223388164337454e-6,-4.406048638161745e-5,3.0520829419348243e-6
recycling_support,0.5,PL,Trade,729,2.124249688373725e-5,-1.9519084637490424e-5,6.526098854654456e-5
recycling_support,0.5,REU,Basic metals,729,-2.863123471641439e-6,-5.92542460653438e-6,-1.4481420618217593e-6
recycling_support,0.5,REU,Metal components,729,6.827760223870869e-6,2.577870650277695e-6,1.6996334895047452e-5
recycling_support,0.5,REU,Other manufacturing,729,-1.3093894524196514e-6,-3.0571847609017766e-6,-1.7029475607444056e-7
recycling_support,0.5,REU,Other services,729,1.312430275568488e-6,-5.711016437537353e-7,2.192400927469862e-6
recycling_support,0.5,REU,Trade,729,-2.4725178571216594e-7,-2.497663675882223e-6,1.0546219120222135e-6
recycling_support,0.5,SK,Basic metals,729,-0.00013604348737703275,-0.0003938567013928014,-4.835775364542385e-5
recycling_support,0.5,SK,Metal components,729,0.00058876236667162,0.00029460120721641175,0.001054829582821348
recycling_support,0.5,SK,Other manufacturing,729,0.0003091852761776453,6.562153953728125e-5,0.0007743792176049715
recycling_support,0.5,SK,Other services,729,2.3131446380550832e-5,-0.00028440498001089837,0.00040228023898726317
recycling_support,0.5,SK,Trade,729,-0.0015247580179328082,-0.002924565329992585,-0.000880067762367287
recycling_support,1.0,DE,Basic metals,729,-1.5972979883207028e-5,-3.5020550792638305e-5,-5.783913703539088e-6
recycling_support,1.0,DE,Metal components,729,3.664732048935721e-5,2.2546330979977072e-5,5.5615090577270885e-5
recycling_support,1.0,DE,Other manufacturing,729,-2.090629580564497e-6,-9.124567867946367e-6,2.259286546735241e-6
recycling_support,1.0,DE,Other services,729,-4.781291274014166e-6,-9.581705784356137e-6,-2.292998035891004e-6
recycling_support,1.0,DE,Trade,729,1.7315981382104463e-5,1.0798519112231744e-5,2.3321459929892585e-5
recycling_support,1.0,FR,Basic metals,729,-6.580653816348163e-5,-0.0001490738159922829,-2.36114662600476e-5
recycling_support,1.0,FR,Metal components,729,2.5288095573112615e-5,-1.9567195541635348e-5,6.245869383913597e-5
recycling_support,1.0,FR,Other manufacturing,729,-0.00018342127967585657,-0.00035575677719279584,-6.559927203664302e-5
recycling_support,1.0,FR,Other services,729,-2.9335356610538113e-5,-4.2817912582204825e-5,-1.840658475638081e-5
recycling_support,1.0,FR,Trade,729,-8.313150645644666e-6,-3.713975614827456e-5,8.803002193857902e-6
recycling_support,1.0,IT,Basic metals,729,-2.856435301628231e-5,-6.136087986616025e-5,-1.0009059636685198e-5
recycling_support,1.0,IT,Metal components,729,4.676067597575398e-5,2.752429970609988e-5,8.577158006062122e-5
recycling_support,1.0,IT,Other manufacturing,729,-4.408226195185018e-6,-1.526392375827972e-5,1.0501411618069072e-5
recycling_support,1.0,IT,Other services,729,-7.13990546463707e-5,-0.00014276996738171767,1.616588767294759e-5
recycling_support,1.0,IT,Trade,729,3.620952477856341e-5,-2.6485982185242707e-6,0.00011927911430786907
recycling_support,1.0,PL,Basic metals,729,-0.00015797971415262846,-0.00036469159476504613,-5.488611334621419e-5
recycling_support,1.0,PL,Metal components,729,0.0002462964630181772,0.00011037484189175853,0.0005387046938676356
recycling_support,1.0,PL,Other manufacturing,729,-0.00033518130236887873,-0.0006395879959209303,-0.00015236281402100638
recycling_support,1.0,PL,Other services,729,-1.172117459758012e-5,-5.195638181910139e-5,7.536759061289091e-6
recycling_support,1.0,PL,Trade,729,4.379742087890538e-5,-2.77233013212877e-5,9.984420098475743e-5
recycling_support,1.0,REU,Basic metals,729,-7.757261477614575e-6,-1.446961828133215e-5,-4.0204195084214935e-6
recycling_support,1.0,REU,Metal components,729,1.830084281895235e-5,6.602313384895794e-6,3.9719339217647505e-5
recycling_support,1.0,REU,Other manufacturing,729,-1.8456880135353515e-6,-5.216172260791297e-6,5.322397633733544e-7
recycling_support,1.0,REU,Other services,729,2.896698636511985e-6,-1.5992950297416542e-7,3.783007329616339e-6
recycling_support,1.0,REU,Trade,729,-1.5399186481523937e-6,-4.255272723074909e-6,6.508486194434228e-7
recycling_support,1.0,SK,Basic metals,729,-0.0004473454827043657,-0.0010376296718254702,-0.00014497627102422368
recycling_support,1.0,SK,Metal components,729,0.0013376240117701126,0.0006677992478780269,0.0023215795177513846
recycling_support,1.0,SK,Other manufacturing,729,0.0011889089092999622,0.0004223743216080947,0.002278985407304151
recycling_support,1.0,SK,Other services,729,-0.0005564328016877001,-0.0010246535203873278,-8.051018079993416e-5
recycling_support,1.0,SK,Trade,729,-0.003027392711558987,-0.006291725926884752,-0.001536200222476368
recycling_support,2.0,DE,Basic metals,729,-3.9598613776906134e-5,-8.069676584731406e-5,-2.0595530403347154e-5
recycling_support,2.0,DE,Metal components,729,5.813650405528156e-5,2.9529689937746696e-5,9.71356899692755e-5
recycling_support,2.0,DE,Other manufacturing,729,-1.7196409451969427e-5,-3.5820652166673807e-5,-5.6512073132175595e-6
recycling_support,2.0,DE,Other services,729,-6.938407537404605e-6,-1.4938407655318302e-5,-2.8525719786287612e-6
recycling_support,2.0,DE,Trade,729,1.1295353552487364e-5,-2.42237749858987e-6,2.16516614193197e-5
recycling_support,2.0,FR,Basic metals,729,-0.00016218109718607506,-0.0003297145819938736,-7.589992808739985e-5
recycling_support,2.0,FR,Metal components,729,-9.565647984820971e-6,-0.00012263327956451165,6.710791915498897e-5
recycling_support,2.0,FR,Other manufacturing,729,-0.00047475296529597867,-0.0008357414042481385,-0.00024382823993196503
recycling_support,2.0,FR,Other services,729,-5.834970799867283e-5,-9.105732303726918e-5,-3.646109443256054e-5
recycling_support,2.0,FR,Trade,729,-4.677741970438038e-5,-0.00012443203797341055,-1.171407918443281e-5
recycling_support,2.0,IT,Basic metals,729,-6.996912055312123e-5,-0.00013930320791364866,-3.4607333254719585e-5
recycling_support,2.0,IT,Metal components,729,9.467470682977434e-5,4.736398027116316e-5,0.00017987998859325015
recycling_support,2.0,IT,Other manufacturing,729,2.3251047198691387e-6,-2.3543843219453505e-5,4.1260692973388465e-5
recycling_support,2.0,IT,Other services,729,-6.45706619617493e-5,-0.0002911856862186655,0.00019516231919425336
recycling_support,2.0,IT,Trade,729,7.014228911028687e-5,-2.5579548745824476e-5,0.0002574901074248197
recycling_support,2.0,PL,Basic metals,729,-0.0003967248780163577,-0.0008167962312771908,-0.00018267796143464372
recycling_support,2.0,PL,Metal components,729,0.0005477094832812159,0.00028344600922613,0.0011210946016646157
recycling_support,2.0,PL,Other manufacturing,729,-0.000802924166420933,-0.0014281266372376084,-0.00043406497993728926
recycling_support,2.0,PL,Other services,729,-1.3555657529807977e-5,-9.055246880108417e-5,7.719985550825459e-6
recycling_support,2.0,PL,Trade,729,5.858277434268945e-5,-6.123065189324081e-5,0.00014551562533828208
recycling_support,2.0,REU,Basic metals,729,-1.8416188252158045e-5,-3.1896071639448985e-5,-1.1065562843804446e-5
recycling_support,2.0,REU,Metal components,729,4.3950705974627435e-5,1.9859560440593792e-5,8.746689911243188e-5
recycling_support,2.0,REU,Other manufacturing,729,-4.109028317600406e-6,-1.2769543134005804e-5,1.1038096436877254e-6
recycling_support,2.0,REU,Other services,729,6.1098934134307115e-6,-4.4459457226864174e-7,7.21306658846288e-6
recycling_support,2.0,REU,Trade,729,-4.391789210078657e-6,-1.0074590051090125e-5,-3.9458585288088e-7
recycling_support,2.0,SK,Basic metals,729,-0.0011049275932769292,-0.0022465228655478486,-0.0004926340988447242
recycling_support,2.0,SK,Metal components,729,0.002926010443910793,0.0017486576451389132,0.004791213706753499
recycling_support,2.0,SK,Other manufacturing,729,0.0032895814034042885,0.0017324404434536677,0.005276925519185859
recycling_support,2.0,SK,Other services,729,-0.0013793201156847357,-0.00444480115520213,-0.0006451932245792963
recycling_support,2.0,SK,Trade,729,-0.0066809443055078155,-0.012950982696289845,-0.003578705023569974
refurbishment_support,0.25,DE,Basic metals,729,-2.6536719655019114e-5,-9.375035435744874e-5,4.23579608055601e-6
