instrument,wedge_percent,region,factor_group,valid_parameter_configurations,median_utilisation_change_percentage_points,lower_quartile_utilisation_change_percentage_points,upper_quartile_utilisation_change_percentage_points
recycling_support,0.25,DE,Capital,729,-1.034334862204389e-6,-4.193476998981538e-6,6.514509154342818e-7
recycling_support,0.25,DE,Labour,729,-1.0287253715546285e-6,-3.695864903008328e-6,1.8388855993478614e-7
recycling_support,0.25,FR,Capital,729,-2.434588652899805e-6,-9.36006825380531e-6,1.7434802490612356e-7
recycling_support,0.25,FR,Labour,729,-4.9188563888691306e-6,-1.2592837439484583e-5,-5.404684366716594e-7
recycling_support,0.25,IT,Capital,729,-1.678546415195825e-5,-2.849877226429598e-5,-4.183718993466812e-6
recycling_support,0.25,IT,Labour,729,-3.132137504913146e-6,-1.807766031314273e-5,4.148827836836233e-7
recycling_support,0.25,PL,Capital,729,-1.8316190475431426e-5,-4.4659356579490606e-5,-5.4968788631981624e-6
recycling_support,0.25,PL,Labour,729,-4.478593118584229e-6,-1.7426356169192303e-5,-3.775625034840857e-7
recycling_support,0.25,REU,Capital,729,-6.087491177808602e-7,-2.3883366062626976e-6,2.712355451350845e-7
recycling_support,0.25,REU,Labour,729,3.6197915775915135e-7,-3.5064187109412615e-7,9.386544208567216e-7
recycling_support,0.25,SK,Capital,729,-1.8837122561787822e-5,-4.45089013201283e-5,-7.2391247996073105e-6
recycling_support,0.25,SK,Labour,729,-2.610966287619476e-5,-8.031118631235401e-5,-1.0040415221457266e-5
recycling_support,0.5,DE,Capital,729,-1.4779239831952395e-6,-6.964890930660772e-6,3.0796404315580617e-7
recycling_support,0.5,DE,Labour,729,-6.531892804417794e-7,-5.274231540397523e-6,5.096990385311528e-7
recycling_support,0.5,FR,Capital,729,-9.751977370076048e-6,-2.4563082035022887e-5,-1.714061370616804e-6
recycling_support,0.5,FR,Labour,729,-6.752596981574044e-6,-1.7860868795072093e-5,-9.689322566508451e-7
recycling_support,0.5,IT,Capital,729,-2.528004906521275e-5,-4.3509997460500216e-5,-7.191318951438319e-6
recycling_support,0.5,IT,Labour,729,-3.7051886780936627e-6,-2.5270591708093093e-5,3.129491554787478e-7
