instrument,wedge_percent,region,outcome,factor,valid_parameter_configurations,median_absolute_change,lower_quartile_absolute_change,upper_quartile_absolute_change,median_change_percent,lower_quartile_change_percent,upper_quartile_change_percent
recycling_support,2.0,DE,Household disposable income,,729,0.3714365162886679,-0.1426194398663938,0.8277162974700332,1.2901245905999794e-5,-4.953655292505696e-6,2.8749385226966688e-5
recycling_support,2.0,FR,Household disposable income,,729,1.229674244998023,0.6053299936465919,1.7585195945575833,6.361627443218947e-5,3.1316293038192964e-5,9.097569179513977e-5
recycling_support,2.0,IT,Household disposable income,,729,3.082625114824623,2.516155895544216,3.4544697429519147,0.00020649629539243295,0.00016855013234075408,0.00023140511022060048
recycling_support,2.0,PL,Household disposable income,,729,0.05307082732906565,-0.24501796072581783,0.14981594978598878,1.4048891027682662e-5,-6.486106969314482e-5,3.965922633326908e-5
recycling_support,2.0,REU,Household disposable income,,729,-1.3834425527602434,-3.267332697287202,-0.26872274093329906,-1.5026881935814771e-5,-3.5489599903516015e-5,-2.918852606680537e-6
recycling_support,2.0,SK,Household disposable income,,729,-0.6796429015666945,-3.345672107723658,-0.027408529262174852,-0.0009237604845816617,-0.004547387576976125,-3.725326375121351e-5
refurbishment_support,2.0,DE,Household disposable income,,729,-83.5802394268103,-101.7074972493574,-77.46602886077017,-0.0029030242705119567,-0.003532645216492038,-0.002690657067560298
refurbishment_support,2.0,FR,Household disposable income,,729,-13.264772136462852,-32.351193812908605,0.6623646742664278,-0.0006862430338296079,-0.0016736647385846319,3.426693944641945e-5
refurbishment_support,2.0,IT,Household disposable income,,729,-26.90810812730342,-56.6445077334065,-23.087386425584555,-0.0018024976886101803,-0.0037944545851570227,-0.0015465584005813831
refurbishment_support,2.0,PL,Household disposable income,,729,-6.884360442229081,-24.791365385404788,-5.175289400562178,-0.0018224255116418067,-0.006562761657473339,-0.0013700008174661082
refurbishment_support,2.0,REU,Household disposable income,,729,-233.1000889763236,-264.400140138343,-213.5506503842771,-0.002531921191271345,-0.0028719007390181047,-0.0023195761936254593
refurbishment_support,2.0,SK,Household disposable income,,729,-75.40310101272189,-162.6935251745599,-25.488688347570132,-0.10248676912298656,-0.22113061049708765,-0.03464384464828148
repair_support,2.0,DE,Household disposable income,,729,-1.3542310297489166,-1.580509116873145,-1.2265063477680087,-4.703702183914955e-5,-5.489642477074428e-5,-4.260071184269159e-5
repair_support,2.0,FR,Household disposable income,,729,-0.9346538365352899,-1.364890065509826,-0.760762034682557,-4.8353614955953255e-5,-7.061156345291389e-5,-3.9357453059366895e-5
repair_support,2.0,IT,Household disposable income,,729,-0.4974198287818581,-0.8974632709287107,-0.35224050865508616,-3.332074062594018e-5,-6.011851386201811e-5,-2.3595590581161696e-5
repair_support,2.0,PL,Household disposable income,,729,-0.23206277674762532,-0.4089174718828872,-0.16593772871419787,-6.143157787764949e-5,-0.00010824849151343809,-4.392697806704737e-5
repair_support,2.0,REU,Household disposable income,,729,-2.68048126809299,-3.154268253594637,-2.362533373758197,-2.911524982827334e-5,-3.426149972461789e-5,-2.5661716134022095e-5
repair_support,2.0,SK,Household disposable income,,729,-0.19570610648952425,-0.6201998040778562,-0.03125502020702697,-0.00026600081816937704,-0.0008429663138251587,-4.248135682966993e-5
reuse_support,2.0,DE,Household disposable income,,729,-100.47696706699207,-116.64857165934518,-94.75695504294708,-0.003489904743287681,-0.004051599241356223,-0.0032912293883770806
reuse_support,2.0,FR,Household disposable income,,729,-20.06279293820262,-41.908675379352644,-11.762086723465472,-0.001037933539407808,-0.0021681138763441177,-0.0006085027314647103
reuse_support,2.0,IT,Household disposable income,,729,-4.518799813464284,-13.753588310675696,-0.8264670658390969,-0.0003027015567403928,-0.0009213137921889277,-5.536267985988081e-5
reuse_support,2.0,PL,Household disposable income,,729,-5.2702269773581065,-13.028508444491308,-4.416837425727863,-0.0013951326599115374,-0.0034489022426083056,-0.00116922367342032
reuse_support,2.0,REU,Household disposable income,,729,-96.76469353027642,-117.62715802155435,-85.87748014181852,-0.0010510531299823208,-0.0012776601475038727,-0.0009327967774725877
reuse_support,2.0,SK,Household disposable income,,729,-92.82510555440967,-186.55689961308963,-29.072554873710033,-0.12616649757923837,-0.25356535264133595,-0.03951498252568525
virgin_metal_tax,2.0,DE,Household disposable income,,719,367.88881743932143,171.98202280700207,574.4307295081671,0.012778022331235163,0.00597351706244134,0.01995192118282936
virgin_metal_tax,2.0,FR,Household disposable income,,719,-14.370298736030236,-30.393685881514102,6.4328684287611395,-0.0007434366229753783,-0.0015723945344892675,0.0003327996215367982
virgin_metal_tax,2.0,IT,Household disposable income,,719,-21.673111891373992,-70.38441304850858,-3.392108940752223,-0.0014518201690095478,-0.004714851792358317,-0.00022722773731240507
virgin_metal_tax,2.0,PL,Household disposable income,,719,7.772588035673834,0.7412083613453433,11.668619633099297,0.0020575568125042808,0.00019621242067079163,0.003088912947427646
virgin_metal_tax,2.0,REU,Household disposable income,,719,-318.82471736148,-555.7611111477017,-45.25477478001267,-0.0034630577008251486,-0.00603664863789356,-0.0004915550387604847
virgin_metal_tax,2.0,SK,Household disposable income,,719,-133.43940479961748,-379.3314535930185,-46.87357045819954,-0.18136884671457715,-0.5155816483066791,-0.0637098571382248
