instrument,wedge_percent,region,outcome,factor,valid_parameter_configurations,median_absolute_change,lower_quartile_absolute_change,upper_quartile_absolute_change,median_change_percent,lower_quartile_change_percent,upper_quartile_change_percent
recycling_support,0.25,DE,Factor income,FAC_DE_CAP,729,0.011717072455212474,-0.03449740260839462,0.04092707624658942,9.5910717388587e-7,-2.8238031682988786e-6,3.3501075105764515e-6
recycling_support,0.25,DE,Factor income,FAC_DE_LAB,729,0.016570065170526505,-0.03507918445393443,0.04816309013403952,9.99756430897538e-7,-2.116505872905404e-6,2.9059245450716187e-6
recycling_support,0.25,DE,Household consumption,,729,0.0016816328279674053,-0.04510033433325589,0.031190271023660898,1.1420296137874894e-7,-3.062851565608294e-6,2.118192067749122e-6
recycling_support,0.25,DE,Household disposable income,,729,0.008295121602714062,-0.08615822484716773,0.07117772288620472,2.881176161321689e-7,-2.9925664193999814e-6,2.4722429425244556e-6
recycling_support,0.25,DE,Household utility,,729,-0.006594247737666592,-0.01315536699257791,-0.00317553139757365,-2.678132739406423e-6,-5.342810953322854e-6,-1.289683818258303e-6
recycling_support,0.25,FR,Factor income,FAC_FR_CAP,729,0.08465555345173925,0.032857623999007046,0.10294974001590163,1.1023395338526733e-5,4.278544814325709e-6,1.3405566887545604e-5
recycling_support,0.25,FR,Factor income,FAC_FR_LAB,729,0.10011097602546215,0.02386348624713719,0.14839537465013564,8.593269551321807e-6,2.048380486300614e-6,1.273787855398366e-5
recycling_support,0.25,FR,Household consumption,,729,0.0847751481924206,0.033321467926725745,0.12002509040758014,7.818484837930041e-6,3.07311042583652e-6,1.1069451006909445e-5
recycling_support,0.25,FR,Household disposable income,,729,0.1550725696142763,0.06424661912024021,0.21882912190631032,8.022563036981578e-6,3.323750635517349e-6,1.1320960432785365e-5
recycling_support,0.25,FR,Household utility,,729,-0.008871417318005115,-0.01798273462918587,-0.0027584003109950572,-4.529570276302643e-6,-9.181628745801672e-6,-1.4083846595142185e-6
recycling_support,0.25,IT,Factor income,FAC_IT_CAP,729,0.12482203601393849,0.011265859589911997,0.2150186039507389,1.5082489074840333e-5,1.3612756978294867e-6,2.598111558245867e-5
recycling_support,0.25,IT,Factor income,FAC_IT_LAB,729,0.18616564897820354,0.09606594080105424,0.21729683165904135,2.7985251525012522e-5,1.4441061125169306e-5,3.266502989546133e-5
recycling_support,0.25,IT,Household consumption,,729,0.16283859929535538,0.041186003014445305,0.22836777393240482,1.787293490182515e-5,4.5205175795443064e-6,2.5065324651656644e-5
recycling_support,0.25,IT,Household disposable income,,729,0.2721598129719496,0.063006023876369,0.3746348456479609,1.8231212372577358e-5,4.220594471688228e-6,2.509572357015238e-5
recycling_support,0.25,IT,Household utility,,729,-0.015009810944320634,-0.03708581795217469,-0.004657002747990191,-9.661715611159793e-6,-2.3871894695431425e-5,-2.9976817375235356e-6
recycling_support,0.25,PL,Factor income,FAC_PL_CAP,729,-0.029349016025662422,-0.07745886573684402,-0.0004024111549369991,-1.3807591153855612e-5,-3.644143804938722e-5,-1.8931907966169856e-7
recycling_support,0.25,PL,Factor income,FAC_PL_LAB,729,0.0028507967363111675,-0.01879303969326429,0.00974682520609349,1.7256532291756813e-6,-1.137586177901058e-5,5.899978829322648e-6
recycling_support,0.25,PL,Household consumption,,729,-0.019145579950418323,-0.06125385288032703,0.002603537170216441,-8.563051842272316e-6,-2.739639745165294e-5,1.1644580012771242e-6
recycling_support,0.25,PL,Household disposable income,,729,-0.033360012515913695,-0.10347972839372233,0.0031918627792038023,-8.831050957835986e-6,-2.7393117856606442e-5,8.449488092872081e-7
recycling_support,0.25,PL,Household utility,,729,-0.004486652909690747,-0.010978573496686295,-0.0013650115724885836,-1.393351940723028e-5,-3.4094495375244306e-5,-4.239110004537183e-6
recycling_support,0.25,REU,Factor income,FAC_REU_CAP,729,-0.08837777748703957,-0.18407547008246183,-0.006814056076109409,-1.9984604747769134e-6,-4.162444019220614e-6,-1.5408422941289508e-7
recycling_support,0.25,REU,Factor income,FAC_REU_LAB,729,-0.09983562771230936,-0.20126192551106215,-0.011699429713189602,-2.086796114732937e-6,-4.206840922565772e-6,-2.445452092547162e-7
recycling_support,0.25,REU,Household consumption,,729,-0.1302308989688754,-0.23915455397218466,-0.031179722398519516,-2.5060139741217257e-6,-4.602015796364954e-6,-5.999867977255508e-7
recycling_support,0.25,REU,Household disposable income,,729,-0.2033227328211069,-0.39912516064941883,-0.05011243186891079,-2.2084810785024454e-6,-4.3352769905051785e-6,-5.44318660494487e-7
recycling_support,0.25,REU,Household utility,,729,-0.014000316383317113,-0.026071470812894404,-0.006518029607832432,-1.5597097684432546e-6,-2.904500626357991e-6,-7.261431936247358e-7
recycling_support,0.25,SK,Factor income,FAC_SK_CAP,729,-0.007649092607607599,-0.017566177557455376,-0.001898154674563557,-1.8400932406994692e-5,-4.225782880532915e-5,-4.566269182955484e-6
recycling_support,0.25,SK,Factor income,FAC_SK_LAB,729,-0.008601749286754057,-0.025539098583976738,-0.0027066952461609617,-2.6876729830112643e-5,-7.979858861419245e-5,-8.45724682377811e-6
recycling_support,0.25,SK,Household consumption,,729,-0.009074255198356695,-0.02532790962868603,-0.002589097850432154,-2.3390863921797176e-5,-6.52881888919476e-5,-6.673962123345536e-6
recycling_support,0.25,SK,Household disposable income,,729,-0.01716034987475723,-0.047985667348257266,-0.004888349547400139,-2.3324091343265246e-5,-6.522140261748418e-5,-6.6441717213036495e-6
recycling_support,0.25,SK,Household utility,,729,-0.0015072309543029405,-0.004239805755787529,-0.0005237697214397485,-2.390551920376573e-5,-6.724567168414599e-5,-8.307278389193744e-6
recycling_support,0.5,DE,Factor income,FAC_DE_CAP,729,0.027240531286224723,-0.027902458095923066,0.09653496090322733,2.229788121311461e-6,-2.2839704910713937e-6,7.90192037189528e-6
recycling_support,0.5,DE,Factor income,FAC_DE_LAB,729,0.04230010253377259,-0.024430818390101194,0.1250221561640501,2.5521806401870253e-6,-1.4740357111371878e-6,7.543223478050671e-6
recycling_support,0.5,DE,Household consumption,,729,0.012995320605114102,-0.0471061491407454,0.08570325397886336,8.825375388097571e-7,-3.1990703566666514e-6,5.82027493823198e-6
recycling_support,0.5,DE,Household disposable income,,729,0.02369381207972765,-0.0951678417623043,0.16637604357674718,8.229661939240275e-7,-3.3055008731924006e-6,5.778802451938935e-6
recycling_support,0.5,DE,Household utility,,729,-0.010212597699137405,-0.021960278798360378,-0.006634679913986474,-4.147659193363089e-6,-8.918764346756678e-6,-2.6945535260428156e-6
recycling_support,0.5,FR,Factor income,FAC_FR_CAP,729,0.13325546437408775,0.014751345384866,0.18714746821206063,1.7351816920837885e-5,1.920841637943654e-6,2.4369346659357327e-5
recycling_support,0.5,FR,Factor income,FAC_FR_LAB,729,0.23232834064401686,0.11752188857644796,0.3009557081386447,1.9942469195611237e-5,1.008777765242896e-5,2.583326649809181e-5
recycling_support,0.5,FR,Household consumption,,729,0.18895763461478055,0.07937057525850832,0.24377867090515792,1.742683360263306e-5,7.320041928173142e-6,2.2482766269550544e-5
recycling_support,0.5,FR,Household disposable income,,729,0.3379448833875358,0.143770981580019,0.43313107336871326,1.748332497921907e-5,7.43788385969145e-6,2.2407711099572608e-5
recycling_support,0.5,FR,Household utility,,729,-0.014620893489336595,-0.03453145021921955,-0.005903286975808442,-7.465139130347884e-6,-1.7631075723734864e-5,-3.0141016096534214e-6
recycling_support,0.5,IT,Factor income,FAC_IT_CAP,729,0.2994770013028756,0.12665727687999606,0.4449726833263412,3.6186387792159775e-5,1.5304244793658178e-5,5.3766913673114245e-5
