instrument,wedge_percent,x_parameter,x_value,y_parameter,y_value,valid_remaining_parameter_configurations,median_reduction_tonnes,minimum_reduction_tonnes,maximum_reduction_tonnes,material_outcome_regime
recycling_support,0.25,Armington elasticity,0.5,CET transformation elasticity,0.5,81,20.95334541797638,-27.338189601898193,211.05343788862228,parameter_dependent
recycling_support,0.25,Armington elasticity,0.5,CET transformation elasticity,1.0,81,15.585891127586365,-10.214306056499481,123.85625159740448,parameter_dependent
recycling_support,0.25,Armington elasticity,0.5,CET transformation elasticity,2.0,81,10.509531378746033,-7.008592784404755,197.25103896856308,parameter_dependent
recycling_support,0.25,Armington elasticity,1.0,CET transformation elasticity,0.5,81,20.486019015312195,-27.11171180009842,189.25451052188873,parameter_dependent
recycling_support,0.25,Armington elasticity,1.0,CET transformation elasticity,1.0,81,15.9702427983284,-7.66431736946106,138.14463824033737,parameter_dependent
recycling_support,0.25,Armington elasticity,1.0,CET transformation elasticity,2.0,81,8.651046097278595,-4.248336136341095,102.07785922288895,parameter_dependent
recycling_support,0.25,Armington elasticity,2.0,CET transformation elasticity,0.5,81,20.926370680332184,-25.554572105407715,66.77815449237823,parameter_dependent
recycling_support,0.25,Armington elasticity,2.0,CET transformation elasticity,1.0,81,20.36365967988968,-17.284153997898102,233.0325146317482,parameter_dependent
recycling_support,0.25,Armington elasticity,2.0,CET transformation elasticity,2.0,81,6.184630393981934,-21.36956614255905,818.7990084290504,parameter_dependent
recycling_support,0.25,Armington elasticity,0.5,Circular-service elasticity,0.5,81,15.315168738365173,-8.730955839157104,211.05343788862228,parameter_dependent
recycling_support,0.25,Armington elasticity,0.5,Circular-service elasticity,1.0,81,17.604754984378815,-27.338189601898193,83.32314991950989,parameter_dependent
recycling_support,0.25,Armington elasticity,0.5,Circular-service elasticity,2.0,81,15.689355552196503,-22.912907481193542,197.25103896856308,parameter_dependent
recycling_support,0.25,Armington elasticity,1.0,Circular-service elasticity,0.5,81,16.68113100528717,-12.254344761371613,138.14463824033737,parameter_dependent
recycling_support,0.25,Armington elasticity,1.0,Circular-service elasticity,1.0,81,15.858966886997223,-26.052862584590912,189.25451052188873,parameter_dependent
recycling_support,0.25,Armington elasticity,1.0,Circular-service elasticity,2.0,81,15.884042263031006,-27.11171180009842,102.48972362279892,parameter_dependent
recycling_support,0.25,Armington elasticity,2.0,Circular-service elasticity,0.5,81,14.688955128192902,-17.960032761096954,233.0325146317482,parameter_dependent
recycling_support,0.25,Armington elasticity,2.0,Circular-service elasticity,1.0,81,14.89762258529663,-21.36956614255905,152.41929352283478,parameter_dependent
recycling_support,0.25,Armington elasticity,2.0,Circular-service elasticity,2.0,81,17.459522247314453,-25.554572105407715,818.7990084290504,parameter_dependent
recycling_support,0.25,Armington elasticity,0.5,EOL-allocation elasticity,0.5,81,18.508621156215668,-21.90527468919754,83.27118813991547,parameter_dependent
recycling_support,0.25,Armington elasticity,0.5,EOL-allocation elasticity,1.0,81,15.03308242559433,-22.912907481193542,211.05343788862228,parameter_dependent
recycling_support,0.25,Armington elasticity,0.5,EOL-allocation elasticity,2.0,81,17.57296520471573,-27.338189601898193,145.4260127544403,parameter_dependent
recycling_support,0.25,Armington elasticity,1.0,EOL-allocation elasticity,0.5,81,14.851918399333954,-22.696335077285767,110.03533446788788,parameter_dependent
recycling_support,0.25,Armington elasticity,1.0,EOL-allocation elasticity,1.0,81,15.760617852210999,-24.119407892227173,162.34354048967361,parameter_dependent
