instrument,wedge_percent,parameter,value,valid_parameter_configurations,median_reduction_percent,lower_quartile_reduction_percent,upper_quartile_reduction_percent,minimum_reduction_percent,maximum_reduction_percent,median_reduction_tonnes,lower_quartile_reduction_tonnes,upper_quartile_reduction_tonnes
recycling_support,0.25,Armington elasticity,0.5,243,3.088401934637735e-6,1.7442844258817767e-6,5.967224254092291e-6,-5.38143949731406e-6,4.15452275091011e-5,15.689355552196503,8.861119478940964,30.314028084278107
recycling_support,0.25,Armington elasticity,1.0,243,3.1436937349595545e-6,1.425482471913263e-6,5.921896287495275e-6,-5.336858030669238e-6,3.725417493982918e-5,15.9702427983284,7.241577297449112,30.083757996559143
recycling_support,0.25,Armington elasticity,2.0,243,2.9610734286478685e-6,9.151811576508907e-7,5.671985693607173e-6,-5.0303398164835325e-6,0.00016117809512945357,15.042515456676483,4.649201393127441,28.81419003009796
recycling_support,0.25,CET transformation elasticity,0.5,243,4.119292438690262e-6,1.772227751550893e-6,6.969820293325272e-6,-5.38143949731406e-6,4.15452275091011e-5,20.926370680332184,9.003074049949646,35.40730482339859
recycling_support,0.25,CET transformation elasticity,1.0,243,3.180286722863069e-6,1.9386421310195843e-6,6.191111785025676e-6,-3.4023331594528396e-6,4.5871741935341074e-5,16.15613842010498,9.848473846912384,31.451396584510803
recycling_support,0.25,CET transformation elasticity,2.0,243,1.6586806080474591e-6,9.832230138326655e-7,4.36656042814485e-6,-4.206534117827931e-6,0.00016117809512945357,8.426244497299194,4.994860053062439,22.18251398205757
recycling_support,0.25,Circular-service elasticity,0.5,243,3.1435497946003592e-6,1.5150472074179239e-6,6.292051217341339e-6,-3.535377838879119e-6,4.5871741935341074e-5,15.969511568546295,7.696574091911316,31.96417784690857
recycling_support,0.25,Circular-service elasticity,1.0,243,3.121789410164926e-6,1.4681562477461619e-6,5.802189393019046e-6,-5.38143949731406e-6,3.725417493982918e-5,15.858966886997223,7.458363860845566,29.47563636302948
recycling_support,0.25,Circular-service elasticity,2.0,243,3.1401968806317986e-6,1.5775347174706549e-6,5.558939208651818e-6,-5.336858030669238e-6,0.00016117809512945357,15.952478468418121,8.014016181230545,28.23990386724472
recycling_support,0.25,Metal-substitution elasticity,0.5,243,1.3678480563252212e-6,2.2335201366273192e-8,1.7811047111938583e-6,-5.38143949731406e-6,1.507277445747233e-5,6.948789358139038,0.11346480250358582,9.048169791698456
recycling_support,0.25,Metal-substitution elasticity,1.0,243,3.5055041483887783e-6,2.097268976852872e-6,4.631711153416568e-6,-4.206534117827931e-6,0.00016117809512945357,17.808271765708923,10.654312282800674,23.529503166675568
recycling_support,0.25,Metal-substitution elasticity,2.0,243,6.470006567732421e-6,4.773015331991351e-6,8.762107497303666e-6,5.797897604943492e-7,3.882826724992794e-5,32.868206799030304,24.24734091758728,44.51228266954422
recycling_support,0.25,Post-use activity productivity elasticity,0.5,243,2.9973588126716742e-6,1.5150472074179239e-6,5.398358637608065e-6,-4.293475103819092e-6,2.16601210112525e-5,15.226848423480988,7.696574091911316,27.424140334129333
recycling_support,0.25,Post-use activity productivity elasticity,1.0,243,3.621096458184258e-6,1.5321081585326256e-6,6.082457399370072e-6,-5.38143949731406e-6,0.00016117809512945357,18.39549094438553,7.783245235681534,30.89942267537117
recycling_support,0.25,Post-use activity productivity elasticity,2.0,243,2.9610734286478685e-6,1.5051493483134376e-6,6.033429339538996e-6,-4.747832104948514e-6,4.5871741935341074e-5,15.042515456676483,7.646292090415955,30.65035578608513
recycling_support,0.25,Post-use allocation elasticity,0.5,243,2.888790928507584e-6,1.3202431088251172e-6,5.460443659065939e-6,-4.4677045483913584e-6,3.000327447650631e-5,14.675313949584961,6.706952005624771,27.739537745714188
recycling_support,0.25,Post-use allocation elasticity,1.0,243,2.959216565161934e-6,1.4901764534469913e-6,5.7290718264282285e-6,-4.747832104948514e-6,4.5871741935341074e-5,15.03308242559433,7.570228457450867,29.10419264435768
recycling_support,0.25,Post-use allocation elasticity,2.0,243,3.934197092685776e-6,1.6896018670925493e-6,6.224588038245129e-6,-5.38143949731406e-6,0.00016117809512945357,19.986069917678833,8.583327233791351,31.621458917856216
recycling_support,0.5,Armington elasticity,0.5,243,5.291132280407591e-6,2.5109432558775366e-6,1.8307881067941742e-5,-1.2872130460800252e-5,9.776772201169345e-5,26.879420936107635,12.755814284086227,93.00565844774246
recycling_support,0.5,Armington elasticity,1.0,243,5.990402300883812e-6,1.817432369191616e-6,1.7557766039791307e-5,-3.951972987867825e-6,0.00013461346243948645,30.431774616241455,9.232717514038086,89.19500762224197
recycling_support,0.5,Armington elasticity,2.0,243,6.305504337613214e-6,1.4035063001354628e-6,1.7759354876565753e-5,-6.596243905365034e-6,0.00016142549262181943,32.0325208902359,7.129936397075653,90.2190967798233
recycling_support,0.5,CET transformation elasticity,0.5,243,6.588686954376563e-6,3.0903410170728456e-6,2.0461433107037355e-5,-3.1782059000049566e-6,0.00013461346243948645,33.47111368179321,15.69920626282692,103.94589367508888
recycling_support,0.5,CET transformation elasticity,1.0,243,5.8407506491780345e-6,3.1873917189580273e-6,1.7848984694983253e-5,-3.022352610541035e-6,8.157403553164558e-5,29.671530961990356,16.19223242998123,90.67442420125008
recycling_support,0.5,CET transformation elasticity,2.0,243,4.343929273761009e-6,1.0560140981578758e-6,1.4849828024047484e-5,-1.2872130460800252e-5,0.00016142549262181943,22.06754571199417,5.364645212888718,75.43844249844551
recycling_support,0.5,Circular-service elasticity,0.5,243,5.753606306950836e-6,2.1882300910638884e-6,1.753722778151522e-5,-3.022352610541035e-6,7.326889689359692e-5,29.228829979896545,11.116402804851532,89.09067144989967
recycling_support,0.5,Circular-service elasticity,1.0,243,5.885763549711796e-6,2.3024811320216003e-6,1.827010185683762e-5,-4.458891627424576e-6,9.776772201169345e-5,29.900200486183167,11.696808218955994,92.81373670697212
recycling_support,0.5,Circular-service elasticity,2.0,243,5.832457417674175e-6,1.8041747323176906e-6,1.778095854927922e-5,-1.2872130460800252e-5,0.00016142549262181943,29.629400610923767,9.165367543697357,90.32884535193443
recycling_support,0.5,Metal-substitution elasticity,0.5,243,1.234343689962926e-6,-1.7413983383756727e-7,2.8415709053116538e-6,-6.596243905365034e-6,6.107378301326683e-5,6.2705753445625305,-0.8846457898616791,14.43543204665184
recycling_support,0.5,Metal-substitution elasticity,1.0,243,5.668652010014377e-6,4.2681966811367765e-6,8.860007896681684e-6,-2.176418076268087e-6,0.00016142549262181943,28.797254621982574,21.682817429304123,45.00962537527084
recycling_support,0.5,Metal-substitution elasticity,2.0,243,1.905892976074992e-5,1.6635291131518862e-5,2.2254665831863078e-5,-1.2872130460800252e-5,0.00013461346243948645,96.8210523724556,84.50875332951546,113.0556748509407
recycling_support,0.5,Post-use activity productivity elasticity,0.5,243,5.557460041946317e-6,2.312406833518704e-6,1.707441000174051e-5,-4.590647378895164e-6,0.00013461346243948645,28.23238956928253,11.747231662273407,86.73951610922813
recycling_support,0.5,Post-use activity productivity elasticity,1.0,243,6.430481129400658e-6,2.412964544637135e-6,1.8647717644459154e-5,-3.951972987867825e-6,0.00016142549262181943,32.66741406917572,12.25807374715805,94.73205837607384
recycling_support,0.5,Post-use activity productivity elasticity,2.0,243,5.182163362539777e-6,1.83851206989964e-6,1.8153942104297454e-5,-1.2872130460800252e-5,9.776772201169345e-5,26.325849175453186,9.339804261922836,92.22363486886024
recycling_support,0.5,Post-use allocation elasticity,0.5,243,5.373021555826903e-6,2.0262414200537287e-6,1.6522397938118413e-5,-1.2872130460800252e-5,0.00013461346243948645,27.295425713062286,10.29348599910736,83.9352459013462
