scenario,instrument,wedge,termination_status,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,fiscal_basis_kind,fiscal_basis_million_eur,primary_metal_market_demand_reduction_tonnes,primary_metal_market_demand_reduction_per_million_eur,primary_metal_market_demand_tonnes,primary_metal_domestic_demand_tonnes,primary_metal_ce_rise_demand_tonnes,recycled_metal_market_demand_tonnes,recycled_metal_domestic_demand_tonnes,recycled_metal_ce_rise_demand_tonnes,primary_metal_output_tonnes,recycled_metal_output_tonnes,external_metal_import_tonnes,tax_revenue_million_eur,support_expenditure_million_eur,household_transfer_million_eur,solver_elapsed_seconds,solver_attempts,sensitivity_profile,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,solver_valid,solver_message,profile_elapsed_seconds
virgin_metal_tax_tax_0_0025,virgin_metal_tax,0.0025,LOCALLY_INFEASIBLE,6.029160299733283e-5,0,0.0,0,tax_revenue,62.6737589112143,194.45479035377502,3.102650833967786,5.080086685184295e8,4.320723893015575e8,2.5405875328333262e7,714736.8715350736,696404.5574833164,38903.047171989645,4.411819767326353e8,714726.7817809863,6.682684153218472e7,62.6737589112143,3.488098449468619e-13,62.673758911213596,13.834535147,1,sensitivity_262,0.5,0.5,2.0,0.5,0.5,1.0,true,,136.493487719
virgin_metal_tax_tax_0_005,virgin_metal_tax,0.005,LOCALLY_INFEASIBLE,0.00015123090260389657,0,0.0,0,tax_revenue,125.34611444481013,635.0325279831886,5.0662322545529985,5.080082279406919e8,4.320719596408624e8,2.5405608693449676e7,714829.1479666886,696496.8339144906,38999.13122151146,4.411818244205886e8,714819.0604935576,6.682682773944845e7,125.34611444481013,1.6956053136113936e-13,125.34611444480979,10.748955425,1,sensitivity_262,0.5,0.5,2.0,0.5,0.5,1.0,true,,136.493487719
virgin_metal_tax_tax_0_01,virgin_metal_tax,0.01,LOCALLY_INFEASIBLE,0.0002522538520739055,0,0.0,0,tax_revenue,250.67590303638207,2098.965600132942,8.373224449213641,5.0800676400761974e8,4.3207029431806576e8,2.5403868891611446e7,715023.6273861199,696691.313341646,39190.25741598359,4.411815305663377e8,715013.4590287313,6.6826804801121496e7,250.67590303638207,1.7785673399537887e-13,250.67590303638173,12.757044243,1,sensitivity_262,0.5,0.5,2.0,0.5,0.5,1.0,true,,136.493487719
virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,0.0005913308982073133,0,0.0,0,tax_revenue,501.3235864297127,3235.9270280599594,6.454767171649219,5.080056270461918e8,4.3206911750529826e8,2.54025805983578e7,715451.8344201277,697119.5203752727,39570.44931116493,4.411814945843294e8,715441.7236556192,6.6826801404499106e7,501.3235864297127,1.9958583333259166e-13,501.32358642971224,14.072202583,1,sensitivity_262,0.5,0.5,2.0,0.5,0.5,1.0,true,,136.493487719
recycling_support_support_0_0025,recycling_support,-0.0025,ALMOST_LOCALLY_SOLVED,1.819122269900335e-7,0,0.0,0,support_expenditure,0.09716529479648003,20.911965787410736,215.22052530394117,5.080088420612541e8,4.3207258434712785e8,2.5406149276348792e7,714737.9111850716,696405.5971342034,38904.90151775476,4.4118199833447003e8,714727.815401234,6.682684647534135e7,7.453641073049281e-16,0.09716529479648003,-0.09716529479647854,4.12439253,1,sensitivity_262,0.5,0.5,2.0,0.5,0.5,1.0,true,,136.493487719
recycling_support_support_0_005,recycling_support,-0.005,ALMOST_LOCALLY_SOLVED,3.643811354245841e-7,0,1.4367398370066562e-10,0,support_expenditure,0.1948187336970001,32.398600697517395,166.30125903552306,5.080088305746192e8,4.320725714528914e8,2.54061397246367e7,714835.4706041918,696503.156553121,39002.52518501642,4.4118199465993476e8,714825.3755005202,6.682684603285857e7,1.4190150111737895e-17,0.1948187336970001,-0.1948187336970001,4.750334374,1,sensitivity_262,0.5,0.5,2.0,0.5,0.5,1.0,true,,136.493487719
recycling_support_support_0_01,recycling_support,-0.01,ALMOST_LOCALLY_SOLVED,7.310164970398863e-7,0,0.0,0,support_expenditure,0.39160518572408154,88.68953597545624,226.47691912319414,5.080087742836839e8,4.3207251936067677e8,2.540607543298844e7,715032.2562263771,696699.9421747159,39199.28733002301,4.41181941350202e8,715022.1642134677,6.682683894162216e7,-1.8531419998942574e-14,0.39160518572408154,-0.3916051857241185,3.959669547,1,sensitivity_262,0.5,0.5,2.0,0.5,0.5,1.0,true,,136.493487719
recycling_support_support_0_02,recycling_support,-0.02,ALMOST_LOCALLY_SOLVED,1.4682949467181983e-6,0,8.619809784349303e-12,0,support_expenditure,0.7912031673449775,230.36864918470383,291.16244561778825,5.080086326045707e8,4.32072387520745e8,2.540595663129385e7,715432.3525572418,697100.0385061704,39598.905475299296,4.411818214266124e8,715422.2574457752,6.682682435225026e7,6.2565231189962715e-16,0.7912031673449775,-0.7912031673449762,4.542897206,1,sensitivity_262,0.5,0.5,2.0,0.5,0.5,1.0,true,,136.493487719
refurbishment_support_support_0_0025,refurbishment_support,-0.0025,ALMOST_LOCALLY_SOLVED,1.0037704426148327e-5,0,9.79439118315988e-9,0,support_expenditure,44.12715226897494,706.0545652508736,16.00045615785836,5.080081569186546e8,4.3207189142786175e8,2.540615463530723e7,714641.009506061,696308.6954549728,38809.410049701015,4.4118139411230755e8,714630.91434777,6.682682395183052e7,-1.0130788559295737e-15,44.12715226897494,-44.12715226897494,2.464554708,1,sensitivity_262,0.5,0.5,2.0,0.5,0.5,1.0,true,,136.493487719
refurbishment_support_support_0_005,refurbishment_support,-0.005,ALMOST_LOCALLY_SOLVED,1.9109686409360408e-5,0,9.856115356618552e-9,0,support_expenditure,88.66810779316205,1672.3039152622223,18.8602639312349,5.080071906693046e8,4.320709891281578e8,2.5405987842673935e7,714641.7018515129,696309.387800435,38810.53714859807,4.4118032638669604e8,714631.606937141,6.6826837760232285e7,-5.546996835088158e-14,88.66810779316205,-88.66810779316216,2.949824351,1,sensitivity_262,0.5,0.5,2.0,0.5,0.5,1.0,true,,136.493487719
