sensitivity_profile,stage,scenario,instrument,wedge,termination_status,primal_status,solver_valid,solver_elapsed_seconds,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,worst_equation_block,worst_equation_tag,worst_equation_indices,worst_equation_scaled_residual,worst_bound_variable,worst_bound_violation,solver_message,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,declared_wedge,source_wedge,trial_wedge,continuation_phase,attempt,trial_accepted
sensitivity_115,baseline,baseline,,0.0,ALMOST_LOCALLY_SOLVED,NEARLY_FEASIBLE_POINT,true,65.118615849,5.065250725522219e-7,0,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,5.065250725522219e-7,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,baseline,1,true
sensitivity_115,direct_target,virgin_metal_tax_tax_0_0025,virgin_metal_tax,0.0025,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,21.473707732,0.00013147637987132033,0,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.00013147637987132033,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,0.5,1.0,1.0,0.5,0.0025,0.0,0.0025,direct_target,1,true
sensitivity_115,direct_target,virgin_metal_tax_tax_0_005,virgin_metal_tax,0.005,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,14.117346558,0.0002673818023732899,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0002673818023732899,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,0.5,1.0,1.0,0.5,0.005,0.0025,0.005,direct_target,1,true
sensitivity_115,direct_target,virgin_metal_tax_tax_0_01,virgin_metal_tax,0.01,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,21.766184807,0.0005349072751001938,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0005349072751001938,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,0.5,1.0,1.0,0.5,0.01,0.005,0.01,direct_target,1,true
sensitivity_115,direct_target,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,32.771035564,0.0010584235729973468,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010584235729973468,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,0.5,1.0,1.0,0.5,0.02,0.01,0.02,direct_target,1,false
sensitivity_115,continuation_trial,virgin_metal_tax_tax_0_015,virgin_metal_tax,0.015,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,26.594653406,0.0008051235709811699,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0008051235709811699,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,0.5,1.0,1.0,0.5,0.02,0.01,0.015,continuation_trial,2,true
sensitivity_115,continuation_trial,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,25.340842815,0.001040000848261613,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.001040000848261613,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,0.5,1.0,1.0,0.5,0.02,0.015,0.02,continuation_trial,3,false
sensitivity_115,continuation_trial,virgin_metal_tax_tax_0_0175,virgin_metal_tax,0.0175,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,15.317338823,0.0009306049897553903,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0009306049897553903,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,0.5,1.0,1.0,0.5,0.02,0.015,0.0175,continuation_trial,4,true
sensitivity_115,continuation_trial,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,12.394575954,0.0010150366199938032,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010150366199938032,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,0.5,1.0,1.0,0.5,0.02,0.0175,0.02,continuation_trial,5,false
sensitivity_115,continuation_trial,virgin_metal_tax_tax_0_018750000000000003,virgin_metal_tax,0.018750000000000003,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,19.279384775,0.0010013466831058082,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010013466831058082,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,0.5,1.0,1.0,0.5,0.02,0.0175,0.018750000000000003,continuation_trial,6,false
sensitivity_115,continuation_trial,virgin_metal_tax_tax_0_018125000000000002,virgin_metal_tax,0.018125000000000002,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,25.161204984,0.0009783142079816676,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0009783142079816676,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,0.5,1.0,1.0,0.5,0.02,0.0175,0.018125000000000002,continuation_trial,7,true
sensitivity_115,continuation_trial,virgin_metal_tax_tax_0_019375000000000003,virgin_metal_tax,0.019375000000000003,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,9.561596513,0.0010162763868671876,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010162763868671876,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,0.5,1.0,1.0,0.5,0.02,0.018125000000000002,0.019375000000000003,continuation_trial,8,false
sensitivity_115,continuation_trial,virgin_metal_tax_tax_0_018750000000000003,virgin_metal_tax,0.018750000000000003,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,17.616370672,0.0009541666794802284,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0009541666794802284,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,0.5,1.0,1.0,0.5,0.02,0.018125000000000002,0.018750000000000003,continuation_trial,9,true
sensitivity_115,continuation_trial,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,12.537624253,0.001082693256637901,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.001082693256637901,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,0.5,1.0,1.0,0.5,0.02,0.018750000000000003,0.02,continuation_trial,10,false
sensitivity_115,continuation_trial,virgin_metal_tax_tax_0_019375000000000003,virgin_metal_tax,0.019375000000000003,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,13.720460552,0.0010306416094705284,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010306416094705284,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,0.5,1.0,1.0,0.5,0.02,0.018750000000000003,0.019375000000000003,continuation_trial,11,false
sensitivity_115,continuation_trial,virgin_metal_tax_tax_0_019062500000000003,virgin_metal_tax,0.019062500000000003,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,8.521355516,0.0009272626906817738,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0009272626906817738,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,0.5,1.0,1.0,0.5,0.02,0.018750000000000003,0.019062500000000003,continuation_trial,12,true
sensitivity_115,continuation_trial,virgin_metal_tax_tax_0_019687500000000004,virgin_metal_tax,0.019687500000000004,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,11.888445505,0.0010620691963182383,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010620691963182383,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,0.5,1.0,1.0,0.5,0.02,0.019062500000000003,0.019687500000000004,continuation_trial,13,false
sensitivity_115,continuation_trial,virgin_metal_tax_tax_0_019375000000000003,virgin_metal_tax,0.019375000000000003,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,6.655502697,0.0010355601589645547,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010355601589645547,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,0.5,1.0,1.0,0.5,0.02,0.019062500000000003,0.019375000000000003,continuation_trial,14,false
sensitivity_115,continuation_trial,virgin_metal_tax_tax_0_019218750000000003,virgin_metal_tax,0.019218750000000003,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,5.524446482,0.0009426076679679429,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0009426076679679429,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,0.5,1.0,1.0,0.5,0.02,0.019062500000000003,0.019218750000000003,continuation_trial,15,true
